tiempo,coste
31,9960.4
66,8813.4
66,8813.4
33,9788.8
35,9703.199999999999
36,9537.999999999998
40,9351.999999999998
41,9262.399999999998
38,9416.999999999998
44,9124.399999999998
37,9489.4
43,9198.599999999999
43,9198.599999999999
52,8999.999999999998
55,8879.4
47,9077.8
53,8953.599999999999
54,8923.6
49,9046.4
51,9013.199999999999
53,8953.599999999999
54,8923.6
47,9077.8
48,9050.4
64,8833.0
65,8817.4
51,9013.199999999999
58,8869.0
61,8848.2
62,8838.199999999999
60,8857.8
61,8848.2
58,8869.0
59,8861.8
49,9046.4
48,9050.4
65,8817.4
59,8861.8
63,8837.0
64,8833.0
60,8857.8
62,8838.199999999999
63,8837.0
66,8813.4
43,9198.599999999999
53,8953.599999999999
54,8923.6
51,9013.199999999999
61,8848.2
58,8869.0
48,9050.4
65,8817.4
59,8861.8
60,8857.8
64,8833.0
62,8838.199999999999
63,8837.0
66,8813.4
43,9198.599999999999
53,8953.599999999999
54,8923.6
51,9013.199999999999
61,8848.2
58,8869.0
48,9050.4
65,8817.4
59,8861.8
64,8833.0
60,8857.8
62,8838.199999999999
63,8837.0
66,8813.4
43,9198.599999999999
53,8953.599999999999
54,8923.6
51,9013.199999999999
61,8848.2
58,8869.0
48,9050.4
65,8817.4
59,8861.8
64,8833.0
60,8857.8
62,8838.199999999999
63,8837.0
66,8813.4
43,9198.599999999999
53,8953.599999999999
54,8923.6
51,9013.199999999999
61,8848.2
58,8869.0
65,8817.4
59,8861.8
64,8833.0
60,8857.8
62,8838.199999999999
63,8837.0
66,8813.4
43,9198.599999999999
33,9655.599999999999
64,8834.599999999999
64,8834.599999999999
35,9546.599999999999
36,9439.199999999999
47,9074.199999999999
42,9260.199999999999
46,9149.399999999998
43,9202.599999999999
40,9315.199999999999
34,9614.199999999999
50,9037.0
38,9380.199999999999
41,9308.799999999997
45,9172.199999999999
37,9386.599999999999
55,8925.999999999998
34,9614.199999999999
51,9009.6
52,8979.199999999999
52,8979.199999999999
56,8904.999999999998
51,9009.6
53,8951.8
57,8877.599999999999
56,8904.999999999998
61,8860.0
62,8840.4
54,8945.4
38,9380.199999999999
59,8865.4
37,9386.599999999999
53,8951.8
57,8877.599999999999
54,8945.4
58,8871.199999999999
62,8840.4
58,8871.199999999999
59,8865.4
61,8860.0
34,9614.199999999999
51,9009.6
52,8979.199999999999
56,8904.999999999998
38,9380.199999999999
53,8951.8
57,8877.599999999999
61,8860.0
54,8945.4
58,8871.199999999999
59,8865.4
51,9009.6
52,8979.199999999999
56,8904.999999999998
38,9380.199999999999
53,8951.8
