tiempo,coste
33,10457.599999999999
69,8773.0
69,8773.0
35,9649.8
39,9446.599999999999
40,9287.399999999998
36,9569.799999999997
44,9109.199999999997
43,9198.8
53,8969.199999999999
38,9500.399999999998
55,8873.599999999999
54,8935.800000000001
47,9095.399999999998
38,9500.399999999998
42,9248.8
43,9198.8
51,9005.399999999998
48,9050.999999999998
49,9046.999999999998
40,9287.399999999998
41,9252.599999999999
54,8935.800000000001
50,9013.6
55,8873.599999999999
58,8840.4
60,8828.599999999999
62,8811.6
44,9109.199999999997
65,8797.8
66,8784.8
58,8840.4
62,8811.6
50,9013.6
63,8803.8
59,8832.599999999999
60,8828.599999999999
48,9050.999999999998
66,8784.8
59,8832.599999999999
64,8801.8
68,8777.0
67,8780.8
65,8797.8
41,9252.599999999999
67,8780.8
68,8777.0
63,8803.8
64,8801.8
69,8773.0
38,9500.399999999998
43,9198.8
40,9287.399999999998
55,8873.599999999999
44,9109.199999999997
58,8840.4
62,8811.6
50,9013.6
60,8828.599999999999
48,9050.999999999998
66,8784.8
59,8832.599999999999
65,8797.8
41,9252.599999999999
67,8780.8
68,8777.0
63,8803.8
64,8801.8
69,8773.0
43,9198.8
40,9287.399999999998
44,9109.199999999997
58,8840.4
62,8811.6
50,9013.6
60,8828.599999999999
48,9050.999999999998
66,8784.8
59,8832.599999999999
65,8797.8
41,9252.599999999999
67,8780.8
68,8777.0
63,8803.8
64,8801.8
69,8773.0
43,9198.8
40,9287.399999999998
58,8840.4
62,8811.6
50,9013.6
44,9109.199999999997
60,8828.599999999999
48,9050.999999999998
66,8784.8
59,8832.599999999999
65,8797.8
41,9252.599999999999
67,8780.8
68,8777.0
34,10485.799999999997
63,8809.6
63,8809.6
36,9612.199999999999
38,9446.4
37,9596.8
43,9276.599999999997
44,9193.199999999999
46,9140.0
39,9368.8
47,9070.0
50,9037.399999999998
53,8949.399999999998
41,9350.599999999999
51,8999.6
42,9303.8
54,8923.6
55,8879.4
52,8980.999999999998
49,9067.199999999999
45,9170.599999999999
42,9303.8
60,8848.2
61,8821.4
54,8923.6
45,9170.599999999999
40,9360.199999999999
52,8980.999999999998
62,8813.6
58,8865.199999999999
59,8855.4
61,8821.4
56,8878.999999999998
57,8871.599999999999
59,8855.4
60,8848.2
57,8871.599999999999
58,8865.199999999999
49,9067.199999999999
55,8879.4
56,8878.999999999998
42,9303.8
54,8923.6
45,9170.599999999999
52,8980.999999999998
61,8821.4
59,8855.4
60,8848.2
57,8871.599999999999
58,8865.199999999999
49,9067.199999999999
55,8879.4
56,8878.999999999998
42,9303.8
54,8923.6
52,8980.999999999998
60,8848.2
57,8871.599999999999
58,8865.199999999999
61,8821.4
49,9067.199999999999
55,8879.4
56,8878.999999999998
54,8923.6
52,8980.999999999998
60,8848.2
57,8871.599999999999
58,8865.199999999999
61,8821.4
49,9067.199999999999
55,8879.4
56,8878.999999999998
54,8923.6
52,8980.999999999998
60,8848.2
57,8871.599999999999
58,8865.199999999999
61,8821.4
49,9067.199999999999
55,8879.4
56,8878.999999999998
54,8923.6
52,8980.999999999998
60,8848.2
57,8871.599999999999
61,8821.4
49,9067.199999999999
55,8879.4
56,8878.999999999998
54,8923.6
52,8980.999999999998
60,8848.2
57,8871.599999999999
61,8821.4
49,9067.199999999999
55,8879.4
56,8878.999999999998
54,8923.6
52,8980.999999999998
60,8848.2
32,9661.399999999998
69,8773.0
69,8773.0
33,9628.599999999999
46,9131.199999999999
37,9441.599999999999
