tiempo,coste
35.0,9495.4
55.0,8873.599999999999
44.0,9109.199999999995
48.0,9044.6
58.0,8840.4
51.0,8999.6
60.0,8828.599999999999
50.0,9013.6
54.0,8923.6
34.0,9549.2
53.0,8945.8
62.0,8809.599999999999
63.0,8799.4
61.0,8813.199999999999
56.0,8871.199999999999
64.0,8797.8
37.0,9380.2
67.0,8773.0
30.0,9850.6
39.0,9290.399999999998
32.0,9628.6
49.0,9040.2
59.0,8831.999999999998
43.0,9171.2
31.0,9780.0
33.0,9575.399999999998
66.0,8777.0
40.0,9240.6
52.0,8973.199999999999
65.0,8784.8
36.0,9383.999999999998
38.0,9360.6
42.0,9213.2
29.0,10114.6
57.0,8870.799999999997
47.0,9062.399999999998
