tiempo,coste
29,10635.599999999997
74,8780.599999999999
32,10035.6
31,10360.0
33,9696.4
34,9572.999999999998
38,9374.399999999998
37,9497.4
41,9333.199999999999
47,9068.199999999999
46,9157.399999999998
42,9250.799999999997
36,9526.999999999998
51,9006.0
53,8945.8
55,8879.4
54,8930.0
61,8838.4
63,8807.8
71,8805.399999999998
47,9068.199999999999
50,9033.4
44,9192.599999999999
45,9161.199999999999
43,9223.399999999998
44,9192.599999999999
50,9033.4
51,9006.0
42,9250.799999999997
43,9223.399999999998
60,8854.6
58,8875.4
53,8945.8
54,8930.0
59,8861.8
59,8861.8
55,8879.4
45,9161.199999999999
46,9157.399999999998
63,8807.8
47,9068.199999999999
44,9192.599999999999
50,9033.4
51,9006.0
43,9223.399999999998
53,8945.8
54,8930.0
59,8861.8
55,8879.4
45,9161.199999999999
46,9157.399999999998
47,9068.199999999999
44,9192.599999999999
50,9033.4
51,9006.0
43,9223.399999999998
53,8945.8
54,8930.0
59,8861.8
55,8879.4
46,9157.399999999998
47,9068.199999999999
44,9192.599999999999
50,9033.4
51,9006.0
53,8945.8
59,8861.8
46,9157.399999999998
47,9068.199999999999
44,9192.599999999999
50,9033.4
51,9006.0
53,8945.8
59,8861.8
46,9157.399999999998
47,9068.199999999999
44,9192.599999999999
50,9033.4
51,9006.0
53,8945.8
59,8861.8
46,9157.399999999998
47,9068.199999999999
44,9192.599999999999
51,9006.0
53,8945.8
59,8861.8
46,9157.399999999998
47,9068.199999999999
44,9192.599999999999
51,9006.0
53,8945.8
59,8861.8
46,9157.399999999998
47,9068.199999999999
51,9006.0
44,9192.599999999999
53,8945.8
46,9157.399999999998
59,8861.8
32,9887.0
70,8773.0
70,8773.0
33,9656.599999999999
35,9531.199999999999
43,9198.599999999999
40,9347.999999999998
39,9389.599999999999
54,8935.800000000001
41,9256.199999999997
44,9109.199999999997
38,9465.199999999999
37,9471.0
55,8873.599999999999
42,9248.8
44,9109.199999999997
47,9068.199999999999
49,9046.999999999998
53,8972.800000000001
50,9013.6
57,8871.599999999999
58,8840.4
63,8803.8
51,8999.6
53,8972.800000000001
48,9050.999999999998
47,9068.199999999999
51,8999.6
50,9013.6
63,8803.8
60,8828.599999999999
61,8815.6
58,8840.4
62,8811.6
59,8832.599999999999
61,8815.6
59,8832.599999999999
62,8811.6
60,8828.599999999999
56,8873.199999999999
57,8871.599999999999
55,8873.599999999999
56,8873.199999999999
44,9109.199999999997
53,8972.800000000001
47,9068.199999999999
51,8999.6
50,9013.6
63,8803.8
58,8840.4
61,8815.6
59,8832.599999999999
60,8828.599999999999
62,8811.6
57,8871.599999999999
55,8873.599999999999
56,8873.199999999999
44,9109.199999999997
53,8972.800000000001
47,9068.199999999999
51,8999.6
50,9013.6
63,8803.8
58,8840.4
61,8815.6
59,8832.599999999999
60,8828.599999999999
62,8811.6
57,8871.599999999999
55,8873.599999999999
44,9109.199999999997
53,8972.800000000001
47,9068.199999999999
51,8999.6
50,9013.6
63,8803.8
58,8840.4
61,8815.6
59,8832.599999999999
60,8828.599999999999
62,8811.6
57,8871.599999999999
55,8873.599999999999
44,9109.199999999997
53,8972.800000000001
47,9068.199999999999
51,8999.6
50,9013.6
63,8803.8
58,8840.4
61,8815.6
59,8832.599999999999
