tiempo,coste
44,15692.599999999997
37,15838.799999999997
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
37,15838.799999999997
44,15692.599999999997
39,15808.999999999998
44,15692.599999999997
37,15838.799999999997
39,15808.999999999998
37,15838.799999999997
45,15702.799999999997
37,15885.999999999996
37,15885.999999999996
45,15702.799999999997
38,15819.199999999997
41,15766.599999999999
41,15766.599999999999
38,15819.199999999997
45,15702.799999999997
37,15885.999999999996
41,15766.599999999999
38,15819.199999999997
37,15885.999999999996
45,15702.799999999997
41,15766.599999999999
38,15819.199999999997
37,15885.999999999996
45,15702.799999999997
41,15766.599999999999
38,15819.199999999997
45,15702.799999999997
37,15885.999999999996
41,15766.599999999999
38,15819.199999999997
45,15702.799999999997
37,15885.999999999996
41,15766.599999999999
38,15819.199999999997
37,15885.999999999996
45,15702.799999999997
41,15766.599999999999
38,15819.199999999997
37,15885.999999999996
45,15702.799999999997
41,15766.599999999999
38,15819.199999999997
45,15702.799999999997
37,15885.999999999996
41,15766.599999999999
38,15819.199999999997
45,15702.799999999997
37,15885.999999999996
41,15766.599999999999
38,15819.199999999997
45,15702.799999999997
