tiempo,coste
37,15896.8
45,15683.8
45,15683.8
37,15896.8
44,15750.599999999999
38,15830.0
39,15800.2
44,15750.599999999999
39,15800.2
38,15830.0
45,15683.8
37,15896.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
45,15683.8
37,15896.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
45,15683.8
37,15896.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
45,15683.8
37,15896.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
45,15683.8
37,15896.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
45,15683.8
37,15896.8
44,15750.599999999999
39,15800.2
38,15830.0
45,15683.8
37,15896.8
44,15750.599999999999
39,15800.2
38,15830.0
45,15683.8
37,15896.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
37,15896.8
45,15683.8
44,15750.599999999999
39,15800.2
38,15830.0
45,15780.799999999996
37,16057.399999999996
37,16057.399999999996
45,15780.799999999996
44,15847.599999999995
38,15990.599999999997
40,15926.999999999996
38,15990.599999999997
42,15897.199999999997
44,15847.599999999995
40,15926.999999999996
42,15897.199999999997
37,16057.399999999996
45,15780.799999999996
38,15990.599999999997
44,15847.599999999995
40,15926.999999999996
42,15897.199999999997
45,15780.799999999996
37,16057.399999999996
38,15990.599999999997
44,15847.599999999995
40,15926.999999999996
42,15897.199999999997
45,15780.799999999996
37,16057.399999999996
38,15990.599999999997
44,15847.599999999995
40,15926.999999999996
42,15897.199999999997
37,16057.399999999996
45,15780.799999999996
38,15990.599999999997
44,15847.599999999995
40,15926.999999999996
42,15897.199999999997
37,16057.399999999996
45,15780.799999999996
38,15990.599999999997
44,15847.599999999995
40,15926.999999999996
42,15897.199999999997
45,15780.799999999996
37,16057.399999999996
38,15990.599999999997
44,15847.599999999995
40,15926.999999999996
42,15897.199999999997
37,16057.399999999996
45,15780.799999999996
38,15990.599999999997
44,15847.599999999995
40,15926.999999999996
42,15897.199999999997
37,16057.399999999996
45,15780.799999999996
38,15990.599999999997
44,15847.599999999995
40,15926.999999999996
42,15897.199999999997
37,16057.399999999996
