tiempo,coste
47,15623.199999999997
37,15857.399999999998
37,15857.399999999998
47,15623.199999999997
44,15711.199999999997
45,15644.399999999998
38,15790.599999999999
39,15760.8
38,15790.599999999999
41,15739.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
37,15857.399999999998
47,15623.199999999997
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
37,15857.399999999998
47,15623.199999999997
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
37,15857.399999999998
47,15623.199999999997
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
38,15790.599999999999
44,15711.199999999997
41,15739.599999999999
45,15644.399999999998
39,15760.8
47,15623.199999999997
37,15857.399999999998
37,15896.599999999999
45,15649.8
37,15896.599999999999
45,15649.8
38,15829.8
41,15713.599999999999
38,15829.8
40,15766.199999999999
