tiempo,coste
37,16472.399999999998
47,15592.999999999998
47,15592.999999999998
38,15760.399999999998
41,15677.999999999998
39,15730.599999999999
43,15656.799999999997
45,15614.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
37,15827.199999999997
45,15614.199999999997
38,15760.399999999998
41,15677.999999999998
41,15677.999999999998
39,15730.599999999999
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
37,15827.199999999997
45,15614.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
47,15592.999999999998
36,16051.599999999997
47,15592.999999999998
37,15827.199999999997
37,15827.199999999997
38,15760.399999999998
41,15677.999999999998
39,15730.599999999999
43,15656.799999999997
45,15614.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
36,16139.199999999997
45,15614.199999999997
45,15614.199999999997
37,15827.199999999997
37,15827.199999999997
38,15760.399999999998
41,15677.999999999998
41,15677.999999999998
39,15730.599999999999
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
38,15760.399999999998
45,15614.199999999997
37,15827.199999999997
41,15677.999999999998
39,15730.599999999999
47,15592.999999999998
36,16021.399999999996
47,15592.999999999998
37,15827.199999999997
37,15827.199999999997
38,15760.399999999998
41,15677.999999999998
39,15730.599999999999
43,15656.799999999997
45,15614.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
47,15594.399999999998
36,16163.199999999995
47,15594.399999999998
37,15828.599999999999
37,15828.599999999999
38,15761.8
41,15679.4
39,15732.0
43,15658.199999999999
45,15615.599999999999
39,15732.0
38,15761.8
41,15679.4
45,15615.599999999999
43,15658.199999999999
47,15594.399999999998
37,15828.599999999999
39,15732.0
38,15761.8
41,15679.4
45,15615.599999999999
43,15658.199999999999
47,15594.399999999998
37,15828.599999999999
39,15732.0
38,15761.8
41,15679.4
45,15615.599999999999
43,15658.199999999999
47,15594.399999999998
37,15828.599999999999
39,15732.0
38,15761.8
41,15679.4
45,15615.599999999999
43,15658.199999999999
47,15594.399999999998
37,15828.599999999999
39,15732.0
38,15761.8
41,15679.4
45,15615.599999999999
