tiempo,coste
37,15827.199999999997
47,15592.999999999998
47,15592.999999999998
37,15827.199999999997
38,15760.399999999998
41,15677.999999999998
39,15730.599999999999
43,15656.799999999997
45,15614.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
37,15827.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
37,15827.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
37,15827.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
37,15827.199999999997
47,15592.999999999998
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
37,15827.199999999997
47,15592.999999999998
37,15827.199999999997
47,15592.999999999998
37,15827.199999999997
47,15592.999999999998
38,15760.399999999998
41,15677.999999999998
39,15730.599999999999
43,15656.799999999997
45,15614.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
39,15730.599999999999
38,15760.399999999998
41,15677.999999999998
43,15656.799999999997
45,15614.199999999997
47,15592.999999999998
37,15827.199999999997
