Algoritmo (operador de mutacion),Hipervolumen,IGD,Epsilon,Cardinalidad del cto. de soluciones no-dominadas
m561_10 (mutacion actividades),15242.1,10.6083,2.0,13
m561_10 (mutacion actividades),15276.1,8.4746,2.0,12
m561_10 (mutacion actividades),15221.1,10.1498,3.0,11
m561_10 (mutacion actividades),15567.82,4.4749,1.0,14
m561_10 (mutacion actividades),15286.46,9.3368,2.0,14
m561_10 (mutacion actividades),14350.68,15.9197,25.0,12
m561_10 (mutacion actividades),14459.49,25.0548,22.0,11
m561_10 (mutacion actividades),15186.1,10.9812,7.0,14
m561_10 (mutacion actividades),14805.19,13.4328,16.0,12
m561_10 (mutacion actividades),15140.05,12.3203,2.0,13
m561_10 (mutacion modo),15411.46,5.4696,2.0,14
m561_10 (mutacion modo),15265.1,10.2801,2.0,13
m561_10 (mutacion modo),15319.46,7.4818,2.0,13
m561_10 (mutacion modo),15296.46,8.9459,3.0,14
m561_10 (mutacion modo),15187.1,9.8879,2.0,12
m561_10 (mutacion modo),15316.46,7.6301,3.0,13
m561_10 (mutacion modo),15202.46,10.6192,4.0,14
m561_10 (mutacion modo),15441.82,5.5687,5.0,16
m561_10 (mutacion modo),15141.1,10.7443,4.0,13
m561_10 (mutacion modo),15478.82,6.3565,6.0,14
