tiempo,coste
27,5074
45,4883
45,4883
27,5074
30,5003
28,5067
30,5003
33,4956
35,4921
34,4949
37,4905
35,4921
33,4956
40,4902
42,4892
41,4893
28,5067
34,4949
39,4904
42,4892
37,4905
40,4902
41,4893
39,4904
27,5074
45,4883
30,5003
35,4921
33,4956
28,5067
34,4949
42,4892
37,4905
40,4902
41,4893
39,4904
27,5074
45,4883
30,5003
35,4921
33,4956
28,5067
34,4949
42,4892
37,4905
40,4902
41,4893
39,4904
27,5074
45,4883
30,5003
35,4921
33,4956
28,5067
34,4949
42,4892
37,4905
40,4902
41,4893
39,4904
45,4883
27,5074
30,5003
35,4921
33,4956
28,5067
34,4949
42,4892
37,4905
40,4902
41,4893
39,4904
45,4883
27,5074
30,5003
35,4921
33,4956
28,5067
34,4949
42,4892
37,4905
40,4902
41,4893
39,4904
45,4883
27,5074
30,5003
35,4921
33,4956
28,5067
34,4949
42,4892
37,4905
40,4902
41,4893
39,4904
45,4883
27,5074
30,5003
35,4921
26,5096
39,4888
26,5096
39,4888
27,5062
29,4971
31,4907
30,4964
27,5062
33,4900
33,4900
29,4971
31,4907
30,4964
26,5096
39,4888
27,5062
33,4900
29,4971
31,4907
30,4964
39,4888
26,5096
27,5062
33,4900
29,4971
31,4907
30,4964
26,5096
39,4888
27,5062
33,4900
29,4971
31,4907
30,4964
39,4888
26,5096
27,5062
33,4900
29,4971
31,4907
30,4964
39,4888
26,5096
27,5062
33,4900
29,4971
31,4907
30,4964
26,5096
39,4888
27,5062
33,4900
29,4971
31,4907
30,4964
26,5096
39,4888
27,5062
33,4900
29,4971
31,4907
30,4964
39,4888
26,5096
27,5062
33,4900
29,4971
31,4907
30,4964
26,5096
39,4888
27,5062
33,4900
29,4971
31,4907
30,4964
26,5096
39,4888
27,5062
33,4900
29,4971
31,4907
30,4964
39,4888
26,5096
27,5062
33,4900
29,4971
31,4907
30,4964
39,4888
26,5096
27,5062
33,4900
29,4971
31,4907
30,4964
26,5096
39,4888
24,5179
40,4902
24,5179
40,4902
26,5167
27,5031
29,5024
30,4948
36,4912
34,4928
26,5167
38,4911
32,4941
33,4932
27,5031
30,4948
29,5024
32,4941
34,4928
33,4932
36,4912
38,4911
40,4902
24,5179
26,5167
27,5031
30,4948
29,5024
32,4941
34,4928
33,4932
36,4912
38,4911
24,5179
40,4902
26,5167
27,5031
30,4948
32,4941
29,5024
34,4928
33,4932
36,4912
38,4911
24,5179
40,4902
26,5167
27,5031
30,4948
29,5024
32,4941
34,4928
33,4932
36,4912
38,4911
24,5179
40,4902
26,5167
27,5031
30,4948
32,4941
29,5024
34,4928
33,4932
36,4912
38,4911
40,4902
24,5179
26,5167
30,4948
32,4941
29,5024
34,4928
33,4932
36,4912
38,4911
24,5179
40,4902
26,5167
30,4948
29,5024
32,4941
34,4928
33,4932
36,4912
38,4911
40,4902
24,5179
26,5167
30,4948
32,4941
29,5024
34,4928
33,4932
36,4912
38,4911
40,4902
24,5179
26,5167
30,4948
24,5173
38,4886
38,4886
24,5173
30,4953
28,5026
25,5109
27,5083
28,5026
33,4942
35,4897
25,5109
27,5083
30,4953
35,4897
33,4942
38,4886
24,5173
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
24,5173
38,4886
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
24,5173
38,4886
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
38,4886
24,5173
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
24,5173
38,4886
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
38,4886
24,5173
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
38,4886
24,5173
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
24,5173
38,4886
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
24,5173
38,4886
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
24,5173
38,4886
28,5026
25,5109
27,5083
30,4953
35,4897
33,4942
24,5173
38,4886
28,5026
25,5109
35,4938
26,5150
35,4938
26,5150
29,5067
28,5091
30,5008
32,4992
33,4954
28,5091
29,5067
31,5001
34,4947
32,4992
30,5008
33,4954
34,4947
31,5001
35,4938
26,5150
28,5091
29,5067
32,4992
30,5008
33,4954
31,5001
34,4947
26,5150
35,4938
28,5091
29,5067
32,4992
30,5008
33,4954
31,5001
34,4947
26,5150
35,4938
28,5091
29,5067
32,4992
30,5008
33,4954
31,5001
34,4947
35,4938
26,5150
28,5091
29,5067
32,4992
30,5008
33,4954
34,4947
31,5001
26,5150
35,4938
28,5091
29,5067
32,4992
30,5008
33,4954
34,4947
31,5001
35,4938
26,5150
28,5091
29,5067
32,4992
30,5008
33,4954
31,5001
34,4947
26,5150
35,4938
28,5091
29,5067
32,4992
30,5008
33,4954
31,5001
34,4947
26,5150
35,4938
28,5091
29,5067
32,4992
30,5008
33,4954
34,4947
31,5001
26,5150
35,4938
28,5091
29,5067
32,4992
30,5008
33,4954
34,4947
31,5001
26,5150
41,4899
26,5153
26,5153
41,4899
28,5064
30,5038
31,5000
33,4974
34,4946
28,5064
31,5000
30,5038
33,4974
36,4920
35,4937
34,4946
36,4920
39,4908
38,4911
35,4937
38,4911
39,4908
26,5153
41,4899
28,5064
31,5000
30,5038
33,4974
34,4946
36,4920
35,4937
38,4911
39,4908
26,5153
41,4899
28,5064
31,5000
30,5038
33,4974
34,4946
36,4920
35,4937
38,4911
39,4908
26,5153
41,4899
28,5064
31,5000
30,5038
33,4974
34,4946
36,4920
35,4937
38,4911
39,4908
26,5153
41,4899
28,5064
31,5000
30,5038
33,4974
34,4946
36,4920
35,4937
38,4911
39,4908
26,5153
41,4899
28,5064
31,5000
30,5038
33,4974
34,4946
36,4920
35,4937
38,4911
39,4908
26,5153
41,4899
28,5064
31,5000
30,5038
33,4974
34,4946
36,4920
35,4937
38,4911
39,4908
26,5153
41,4899
28,5064
31,5000
30,5038
33,4974
34,4946
36,4920
35,4937
38,4911
39,4908
41,4899
27,5020
36,4917
27,5020
36,4917
31,4924
30,4988
29,4995
29,4995
31,4924
30,4988
27,5020
36,4917
29,4995
31,4924
30,4988
36,4917
27,5020
29,4995
31,4924
30,4988
36,4917
27,5020
29,4995
31,4924
30,4988
36,4917
27,5020
29,4995
31,4924
30,4988
36,4917
27,5020
29,4995
31,4924
30,4988
36,4917
27,5020
29,4995
31,4924
30,4988
27,5020
36,4917
29,4995
31,4924
30,4988
27,5020
36,4917
29,4995
31,4924
30,4988
36,4917
27,5020
29,4995
31,4924
30,4988
27,5020
36,4917
29,4995
31,4924
30,4988
27,5020
36,4917
29,4995
31,4924
30,4988
27,5020
36,4917
29,4995
31,4924
30,4988
27,5020
36,4917
29,4995
31,4924
30,4988
36,4917
27,5020
29,4995
31,4924
30,4988
36,4917
27,5020
29,4995
31,4924
30,4988
27,5020
36,4917
29,4995
31,4924
30,4988
27,5020
36,4917
29,4995
31,4924
30,4988
36,4917
27,5020
29,4995
31,4924
30,4988
36,4921
25,5117
36,4921
25,5117
28,5034
28,5034
29,4975
31,4970
34,4926
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
31,4970
29,4975
25,5117
36,4921
28,5034
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
31,4970
29,4975
25,5117
36,4921
28,5034
34,4926
31,4970
29,4975
25,5117
36,4921
28,5034
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
31,4970
29,4975
25,5117
36,4921
28,5034
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
31,4970
29,4975
25,5117
36,4921
28,5034
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
31,4970
29,4975
36,4921
25,5117
28,5034
34,4926
34,4924
28,5003
28,5003
34,4924
29,4951
32,4943
33,4931
29,4951
33,4931
31,4944
31,4944
32,4943
28,5003
34,4924
29,4951
33,4931
31,4944
32,4943
28,5003
34,4924
29,4951
33,4931
31,4944
32,4943
34,4924
28,5003
29,4951
33,4931
31,4944
32,4943
28,5003
34,4924
29,4951
33,4931
31,4944
32,4943
28,5003
34,4924
29,4951
33,4931
31,4944
32,4943
34,4924
28,5003
29,4951
33,4931
31,4944
32,4943
28,5003
34,4924
29,4951
33,4931
31,4944
32,4943
28,5003
34,4924
29,4951
33,4931
31,4944
32,4943
28,5003
34,4924
29,4951
33,4931
31,4944
32,4943
28,5003
34,4924
29,4951
33,4931
31,4944
32,4943
28,5003
34,4924
29,4951
33,4931
31,4944
32,4943
34,4924
29,4951
33,4931
31,4944
32,4943
34,4924
29,4951
33,4931
31,4944
32,4943
34,4924
29,4951
33,4931
31,4944
32,4943
34,4924
29,4951
33,4931
31,4944
32,4943
34,4924
29,4951
26,5131
37,4908
37,4908
26,5131
29,5010
29,5010
32,4927
32,4927
33,4918
36,4915
35,4917
36,4915
33,4918
35,4917
37,4908
26,5131
29,5010
32,4927
36,4915
33,4918
35,4917
37,4908
26,5131
29,5010
32,4927
36,4915
33,4918
35,4917
26,5131
37,4908
29,5010
32,4927
36,4915
33,4918
35,4917
37,4908
26,5131
29,5010
32,4927
36,4915
33,4918
35,4917
37,4908
26,5131
29,5010
32,4927
36,4915
33,4918
35,4917
37,4908
26,5131
29,5010
32,4927
36,4915
33,4918
35,4917
26,5131
37,4908
29,5010
32,4927
36,4915
33,4918
35,4917
37,4908
26,5131
29,5010
32,4927
36,4915
33,4918
35,4917
37,4908
26,5131
29,5010
32,4927
36,4915
33,4918
35,4917
37,4908
26,5131
29,5010
32,4927
36,4915
33,4918
35,4917
26,5131
37,4908
29,5010
32,4927
36,4915
33,4918
35,4917
37,4908
26,5131
29,5010
32,4927
36,4915
33,4918
35,4917
26,5131
37,4908
