tiempo,coste
26,5350
38,4883
38,4883
26,5350
27,5327
28,5199
28,5199
29,5086
29,5086
31,5026
30,5038
32,4978
33,4955
35,4915
35,4915
36,4890
33,4955
32,4978
27,5327
30,5038
31,5026
36,4890
38,4883
26,5350
28,5199
29,5086
35,4915
33,4955
32,4978
27,5327
30,5038
31,5026
36,4890
38,4883
26,5350
28,5199
29,5086
35,4915
33,4955
32,4978
27,5327
30,5038
31,5026
36,4890
26,5350
38,4883
28,5199
29,5086
35,4915
33,4955
32,4978
27,5327
30,5038
31,5026
36,4890
38,4883
26,5350
28,5199
29,5086
35,4915
33,4955
32,4978
27,5327
30,5038
31,5026
36,4890
38,4883
26,5350
28,5199
29,5086
35,4915
33,4955
32,4978
27,5327
30,5038
31,5026
36,4890
26,5350
38,4883
28,5199
29,5086
35,4915
33,4955
32,4978
27,5327
30,5038
31,5026
36,4890
38,4883
26,5350
28,5199
29,5086
35,4915
33,4955
32,4978
27,5327
30,5038
31,5026
36,4890
26,5350
24,5253
36,4917
36,4917
24,5253
27,5160
28,5072
32,4945
28,5072
25,5245
30,5001
26,5189
29,5016
26,5189
27,5160
32,4945
34,4924
30,5001
29,5016
34,4924
25,5245
24,5253
36,4917
28,5072
26,5189
27,5160
32,4945
30,5001
29,5016
34,4924
25,5245
24,5253
36,4917
28,5072
26,5189
27,5160
32,4945
30,5001
29,5016
34,4924
25,5245
24,5253
36,4917
28,5072
26,5189
27,5160
32,4945
30,5001
29,5016
34,4924
25,5245
24,5253
36,4917
28,5072
26,5189
27,5160
32,4945
30,5001
29,5016
34,4924
25,5245
24,5253
36,4917
28,5072
26,5189
27,5160
32,4945
30,5001
29,5016
34,4924
25,5245
24,5253
36,4917
28,5072
26,5189
27,5160
32,4945
30,5001
29,5016
34,4924
25,5245
24,5253
36,4917
28,5072
26,5189
27,5160
32,4945
30,5001
29,5016
34,4924
25,5245
24,5253
36,4917
28,5072
26,5189
27,5160
32,4945
30,5001
29,5016
34,4924
25,5245
25,5074
38,4916
25,5074
38,4916
27,5048
28,4991
33,4923
31,4958
29,4965
28,4991
27,5048
31,4958
29,4965
25,5074
38,4916
28,4991
27,5048
31,4958
29,4965
38,4916
25,5074
28,4991
27,5048
31,4958
29,4965
38,4916
25,5074
28,4991
27,5048
31,4958
29,4965
25,5074
38,4916
28,4991
27,5048
31,4958
29,4965
38,4916
25,5074
28,4991
27,5048
31,4958
29,4965
25,5074
38,4916
28,4991
27,5048
31,4958
29,4965
25,5074
38,4916
28,4991
27,5048
31,4958
29,4965
25,5074
38,4916
28,4991
27,5048
31,4958
29,4965
38,4916
25,5074
28,4991
27,5048
31,4958
29,4965
38,4916
25,5074
28,4991
27,5048
31,4958
29,4965
25,5074
38,4916
28,4991
27,5048
31,4958
29,4965
25,5074
38,4916
28,4991
27,5048
27,5048
27,5048
29,4965
25,5074
27,5048
27,5048
31,4958
28,4991
28,4991
27,5048
29,4965
27,5048
25,5074
38,4916
27,5048
31,4958
31,4958
28,5089
38,4913
28,5089
38,4913
30,5006
30,5006
33,4942
35,4933
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
28,5089
38,4913
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
28,5089
38,4913
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
28,5089
38,4913
30,5006
33,4942
35,4933
38,4913
28,5089
30,5006
33,4942
35,4933
25,5166
35,4886
35,4886
25,5166
26,5077
30,4987
28,5004
27,5051
31,4940
32,4912
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
35,4886
25,5166
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
25,5166
35,4886
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
25,5166
35,4886
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
35,4886
25,5166
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
25,5166
35,4886
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
35,4886
25,5166
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
25,5166
35,4886
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
35,4886
25,5166
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
35,4886
25,5166
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
25,5166
35,4886
31,4940
26,5077
32,4912
27,5051
28,5004
30,4987
35,4886
25,5166
31,4940
26,5077
33,4925
27,5044
27,5044
33,4925
31,4934
30,4981
28,4997
31,4934
28,4997
29,4989
29,4989
30,4981
27,5044
33,4925
31,4934
28,4997
29,4989
30,4981
27,5044
33,4925
31,4934
28,4997
30,4981
29,4989
33,4925
27,5044
31,4934
28,4997
29,4989
30,4981
27,5044
33,4925
31,4934
28,4997
30,4981
29,4989
27,5044
33,4925
31,4934
