tiempo,coste
42,4890
28,5068
28,5068
42,4890
29,4994
29,4994
31,4933
31,4933
32,4911
33,4902
33,4902
32,4911
28,5068
42,4890
29,4994
31,4933
33,4902
32,4911
42,4890
28,5068
29,4994
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
28,5068
42,4890
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
28,5068
42,4890
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
28,5068
42,4890
31,4933
33,4902
32,4911
28,5068
42,4890
31,4933
33,4902
32,4911
28,5068
42,4890
31,4933
33,4902
32,4911
42,4890
28,5068
31,4933
33,4902
32,4911
42,4890
36,4874
29,5044
36,4874
29,5044
30,4907
33,4886
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
36,4874
29,5044
30,4907
33,4886
36,4874
29,5044
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
36,4874
29,5044
30,4907
33,4886
36,4874
29,5044
30,4907
33,4886
36,4874
29,5044
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
36,4874
29,5044
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5044
36,4874
30,4907
33,4886
29,5037
42,4859
42,4859
29,5037
30,5024
31,4963
31,4963
32,4916
33,4903
36,4879
37,4866
36,4879
33,4903
32,4916
30,5024
37,4866
42,4859
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
42,4859
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
30,5024
37,4866
29,5037
31,4963
36,4879
33,4903
32,4916
39,4884
27,5084
39,4884
27,5084
30,4987
28,5028
31,4931
28,5028
30,4987
36,4904
33,4924
35,4911
36,4904
35,4911
33,4924
31,4931
39,4884
27,5084
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
27,5084
39,4884
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
39,4884
27,5084
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
27,5084
39,4884
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
39,4884
27,5084
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
27,5084
39,4884
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
27,5084
39,4884
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
27,5084
39,4884
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
27,5084
39,4884
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
27,5084
39,4884
28,5028
30,4987
36,4904
35,4911
33,4924
31,4931
39,4884
27,5084
28,5028
30,4987
28,5068
36,4912
28,5068
36,4912
31,4973
29,5037
29,5037
31,4973
33,4946
34,4938
33,4946
34,4938
28,5068
36,4912
29,5037
31,4973
33,4946
34,4938
28,5068
36,4912
29,5037
31,4973
33,4946
34,4938
36,4912
28,5068
29,5037
31,4973
33,4946
34,4938
36,4912
28,5068
29,5037
31,4973
33,4946
34,4938
36,4912
28,5068
29,5037
31,4973
33,4946
34,4938
36,4912
28,5068
29,5037
31,4973
33,4946
34,4938
36,4912
28,5068
29,5037
31,4973
33,4946
34,4938
28,5068
36,4912
29,5037
31,4973
33,4946
34,4938
28,5068
36,4912
29,5037
31,4973
33,4946
34,4938
36,4912
28,5068
29,5037
31,4973
33,4946
34,4938
28,5068
36,4912
29,5037
33,4946
34,4938
36,4912
28,5068
29,5037
33,4946
34,4938
28,5068
36,4912
29,5037
33,4946
34,4938
28,5068
36,4912
29,5037
33,4946
34,4938
36,4912
28,5068
29,5037
33,4946
34,4938
28,5068
36,4912
29,5037
51,4896
25,5074
51,4896
25,5074
28,5039
30,4971
28,5039
41,4903
33,4936
31,4956
30,4971
31,4956
33,4936
37,4915
35,4924
37,4915
41,4903
35,4924
25,5074
51,4896
28,5039
30,4971
31,4956
33,4936
37,4915
41,4903
35,4924
51,4896
25,5074
28,5039
30,4971
31,4956
33,4936
37,4915
41,4903
35,4924
25,5074
51,4896
28,5039
30,4971
31,4956
33,4936
37,4915
41,4903
35,4924
25,5074
51,4896
28,5039
30,4971
31,4956
33,4936
37,4915
41,4903
35,4924
51,4896
25,5074
30,4971
31,4956
33,4936
37,4915
41,4903
35,4924
25,5074
51,4896
30,4971
31,4956
33,4936
37,4915
41,4903
35,4924
51,4896
25,5074
30,4971
31,4956
33,4936
37,4915
41,4903
35,4924
51,4896
25,5074
31,4956
30,4971
33,4936
37,4915
41,4903
35,4924
25,5074
51,4896
31,4956
30,4971
33,4936
37,4915
41,4903
35,4924
51,4896
25,5074
31,4956
30,4971
33,4936
37,4915
24,5119
36,4911
36,4911
24,5119
27,5048
25,5112
28,4991
26,5055
29,4984
31,4957
31,4957
32,4938
33,4931
35,4918
35,4918
29,4984
33,4931
26,5055
28,4991
32,4938
25,5112
27,5048
24,5119
36,4911
31,4957
35,4918
29,4984
33,4931
26,5055
28,4991
32,4938
25,5112
27,5048
36,4911
24,5119
31,4957
35,4918
29,4984
33,4931
26,5055
28,4991
32,4938
25,5112
27,5048
36,4911
24,5119
31,4957
35,4918
29,4984
33,4931
26,5055
28,4991
32,4938
25,5112
27,5048
36,4911
24,5119
31,4957
35,4918
29,4984
33,4931
26,5055
28,4991
32,4938
25,5112
27,5048
36,4911
24,5119
31,4957
35,4918
29,4984
33,4931
28,4991
26,5055
32,4938
25,5112
27,5048
36,4911
24,5119
31,4957
35,4918
33,4931
29,4984
28,4991
26,5055
32,4938
25,5112
27,5048
36,4911
24,5119
31,4957
35,4918
33,4931
29,4984
26,5055
28,4991
32,4938
25,5112
27,5048
24,5119
25,5206
37,4909
37,4909
25,5206
26,5150
27,5064
26,5150
32,4951
30,4993
28,5056
29,5015
34,4944
35,4916
30,4993
29,5015
27,5064
32,4951
28,5056
35,4916
34,4944
37,4909
25,5206
26,5150
30,4993
29,5015
27,5064
32,4951
28,5056
35,4916
34,4944
25,5206
37,4909
26,5150
30,4993
29,5015
27,5064
32,4951
28,5056
35,4916
34,4944
37,4909
25,5206
26,5150
30,4993
29,5015
27,5064
32,4951
28,5056
35,4916
34,4944
37,4909
25,5206
26,5150
30,4993
29,5015
27,5064
32,4951
28,5056
35,4916
34,4944
25,5206
37,4909
26,5150
30,4993
29,5015
27,5064
32,4951
28,5056
35,4916
34,4944
37,4909
25,5206
26,5150
30,4993
29,5015
27,5064
32,4951
28,5056
35,4916
34,4944
25,5206
37,4909
26,5150
30,4993
29,5015
27,5064
32,4951
28,5056
35,4916
34,4944
25,5206
37,4909
26,5150
30,4993
29,5015
27,5064
32,4951
28,5056
35,4916
34,4944
26,5261
39,4865
26,5261
39,4865
27,4978
30,4907
29,4963
36,4895
37,4874
32,4898
30,4907
37,4874
27,4978
28,4970
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
37,4874
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
37,4874
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
37,4874
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
37,4874
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
37,4874
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
37,4874
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
37,4874
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
37,4874
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
27,4978
28,4970
29,4963
32,4898
36,4895
26,5261
30,4907
27,4978
28,4970
37,4899
27,5121
37,4899
29,5017
30,5003
31,4961
35,4906
33,4932
33,4932
32,4954
29,5017
30,5003
35,4906
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
35,4906
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
31,4961
32,4954
37,4899
33,4932
29,5017
30,5003
32,4954
37,4899
33,4932
29,5017
30,5003
32,4954
37,4899
33,4932
29,5017
30,5003
32,4954
37,4899
33,4932
29,5017
