tiempo,coste
24,5215
40,4879
40,4879
25,5103
29,4947
27,5030
31,4893
26,5052
27,5030
26,5052
32,4886
31,4893
32,4886
27,5030
26,5052
31,4893
32,4886
27,5030
26,5052
31,4893
32,4886
27,5030
26,5052
31,4893
32,4886
27,5030
26,5052
31,4893
32,4886
27,5030
26,5052
31,4893
32,4886
27,5030
26,5052
31,4893
32,4886
27,5030
26,5052
31,4893
32,4886
27,5030
26,5052
31,4893
32,4886
27,5030
26,5052
31,4893
32,4886
26,5052
31,4893
32,4886
26,5052
31,4893
32,4886
26,5052
31,4893
32,4886
26,5052
31,4893
32,4886
26,5052
31,4893
32,4886
26,5052
31,4893
32,4886
26,5052
31,4893
32,4886
26,5052
31,4893
32,4886
26,5052
31,4893
32,4886
31,4893
32,4886
26,5052
31,4893
26,5052
32,4886
31,4893
31,4893
27,5030
26,5052
26,5052
27,5030
32,4886
31,4893
26,5052
26,5052
26,5052
31,4893
32,4886
31,4893
31,4893
27,5030
31,4893
31,4893
37,4937
26,5103
29,5020
27,5058
30,4975
27,5058
29,5020
32,4968
33,4947
35,4940
30,4975
33,4947
32,4968
35,4940
27,5058
29,5020
30,4975
33,4947
32,4968
35,4940
27,5058
29,5020
30,4975
33,4947
32,4968
35,4940
27,5058
29,5020
30,4975
33,4947
32,4968
35,4940
27,5058
29,5020
30,4975
33,4947
32,4968
35,4940
27,5058
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
30,4975
33,4947
32,4968
35,4940
29,5020
27,5120
50,4859
50,4859
29,4949
28,5077
29,4949
31,4893
28,5077
39,4865
32,4886
36,4874
32,4886
35,4877
31,4893
39,4865
35,4877
36,4874
50,4859
29,4949
28,5077
32,4886
31,4893
39,4865
35,4877
36,4874
50,4859
29,4949
28,5077
32,4886
31,4893
39,4865
35,4877
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
35,4877
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
35,4877
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
35,4877
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
35,4877
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
36,4874
29,4949
28,5077
32,4886
31,4893
39,4865
36,4874
29,4949
28,5077
32,4886
54,4868
24,5138
24,5138
29,4918
27,5001
25,5119
26,5055
27,5001
26,5055
46,4870
29,4918
31,4893
35,4877
25,5119
35,4877
32,4886
32,4886
31,4893
24,5138
27,5001
26,5055
29,4918
25,5119
35,4877
32,4886
31,4893
24,5138
27,5001
26,5055
29,4918
25,5119
35,4877
32,4886
31,4893
24,5138
27,5001
26,5055
29,4918
25,5119
35,4877
32,4886
31,4893
24,5138
27,5001
26,5055
29,4918
25,5119
35,4877
32,4886
31,4893
24,5138
27,5001
26,5055
29,4918
25,5119
35,4877
32,4886
31,4893
24,5138
27,5001
26,5055
29,4918
25,5119
35,4877
32,4886
31,4893
27,5001
26,5055
29,4918
25,5119
32,4886
31,4893
27,5001
26,5055
29,4918
25,5119
32,4886
