tiempo,coste
26,5091
42,4867
26,5091
42,4867
27,5001
29,4918
27,5001
29,4918
31,4893
36,4874
31,4893
35,4881
33,4886
36,4874
33,4886
35,4881
42,4867
26,5091
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
26,5091
42,4867
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
26,5091
42,4867
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
26,5091
42,4867
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
26,5091
42,4867
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
42,4867
26,5091
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
26,5091
42,4867
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
26,5091
42,4867
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
26,5091
42,4867
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
26,5091
42,4867
27,5001
29,4918
31,4893
36,4874
33,4886
35,4881
26,5091
42,4867
27,5001
29,4918
43,4884
28,5251
28,5251
43,4884
29,5117
30,5088
31,4980
32,4973
33,4925
29,5117
30,5088
39,4896
39,4896
37,4905
35,4916
37,4905
31,4980
33,4925
34,4918
32,4973
35,4916
34,4918
43,4884
28,5251
29,5117
30,5088
39,4896
37,4905
31,4980
33,4925
32,4973
35,4916
34,4918
43,4884
28,5251
29,5117
30,5088
39,4896
37,4905
31,4980
33,4925
32,4973
35,4916
34,4918
28,5251
43,4884
29,5117
30,5088
39,4896
37,4905
31,4980
33,4925
32,4973
35,4916
34,4918
43,4884
28,5251
29,5117
30,5088
39,4896
37,4905
31,4980
33,4925
32,4973
35,4916
34,4918
28,5251
43,4884
29,5117
30,5088
39,4896
37,4905
31,4980
33,4925
32,4973
35,4916
34,4918
28,5251
43,4884
29,5117
30,5088
39,4896
37,4905
31,4980
33,4925
32,4973
35,4916
34,4918
43,4884
29,5117
30,5088
39,4896
37,4905
31,4980
33,4925
32,4973
35,4916
34,4918
43,4884
29,5117
28,4975
42,4858
42,4858
28,4975
30,4918
30,4918
31,4893
37,4865
36,4874
34,4884
32,4886
31,4893
37,4865
35,4877
35,4877
36,4874
32,4886
34,4884
42,4858
28,4975
31,4893
37,4865
35,4877
36,4874
32,4886
34,4884
28,4975
31,4893
37,4865
35,4877
36,4874
32,4886
28,4975
31,4893
37,4865
35,4877
36,4874
32,4886
28,4975
31,4893
37,4865
35,4877
36,4874
32,4886
31,4893
37,4865
35,4877
36,4874
32,4886
31,4893
37,4865
35,4877
36,4874
32,4886
31,4893
37,4865
35,4877
36,4874
32,4886
31,4893
37,4865
35,4877
36,4874
32,4886
32,4886
31,4893
35,4877
36,4874
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
39,4865
24,5141
24,5141
39,4865
29,4947
28,5004
25,5084
29,4947
31,4893
27,5051
28,5004
26,5077
27,5051
38,4874
35,4877
32,4886
32,4886
31,4893
25,5084
26,5077
35,4877
38,4874
24,5141
39,4865
29,4947
28,5004
27,5051
32,4886
31,4893
25,5084
26,5077
35,4877
38,4874
24,5141
39,4865
29,4947
28,5004
27,5051
32,4886
31,4893
25,5084
26,5077
35,4877
38,4874
24,5141
39,4865
29,4947
28,5004
27,5051
32,4886
31,4893
25,5084
26,5077
35,4877
38,4874
24,5141
39,4865
29,4947
28,5004
27,5051
32,4886
31,4893
25,5084
26,5077
35,4877
38,4874
24,5141
39,4865
29,4947
27,5051
32,4886
31,4893
25,5084
26,5077
35,4877
38,4874
24,5141
39,4865
29,4947
27,5051
32,4886
31,4893
25,5084
26,5077
35,4877
39,4865
24,5141
29,4947
27,5051
32,4886
31,4893
25,5084
26,5077
35,4877
39,4865
24,5141
29,4947
27,5051
32,4886
31,4893
22,5216
42,4858
42,4858
22,5216
28,4984
29,4918
23,5189
24,5130
24,5130
25,5074
26,5047
27,5001
25,5074
26,5047
23,5189
27,5001
28,4984
30,4907
31,4893
37,4865
29,4918
30,4907
36,4874
34,4877
32,4886
32,4886
31,4893
37,4865
34,4877
36,4874
22,5216
42,4858
24,5130
25,5074
23,5189
27,5001
28,4984
29,4918
30,4907
32,4886
31,4893
37,4865
34,4877
36,4874
22,5216
24,5130
25,5074
23,5189
27,5001
28,4984
29,4918
30,4907
32,4886
31,4893
37,4865
34,4877
36,4874
22,5216
24,5130
25,5074
23,5189
27,5001
28,4984
29,4918
30,4907
32,4886
31,4893
37,4865
34,4877
36,4874
22,5216
24,5130
25,5074
23,5189
27,5001
