tiempo,coste
24,5154
39,4865
39,4865
26,5055
28,4991
29,4965
30,4918
32,4886
28,4991
29,4965
31,4911
36,4877
38,4874
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
39,4865
28,4991
29,4965
30,4918
31,4911
38,4874
25,5112
41,4865
28,4975
27,5058
29,4918
39,4870
31,4911
33,4898
36,4886
37,4877
33,4898
31,4911
34,4891
29,4918
37,4877
34,4891
36,4886
33,4898
31,4911
29,4918
37,4877
34,4891
36,4886
33,4898
31,4911
29,4918
37,4877
34,4891
36,4886
33,4898
31,4911
29,4918
34,4891
36,4886
33,4898
31,4911
29,4918
34,4891
36,4886
33,4898
31,4911
29,4918
34,4891
36,4886
33,4898
31,4911
29,4918
34,4891
36,4886
33,4898
31,4911
29,4918
34,4891
36,4886
33,4898
31,4911
29,4918
34,4891
36,4886
33,4898
31,4911
29,4918
34,4891
36,4886
33,4898
31,4911
29,4918
34,4891
36,4886
33,4898
31,4911
29,4918
34,4891
33,4898
31,4911
29,4918
34,4891
33,4898
31,4911
29,4918
34,4891
33,4898
31,4911
29,4918
34,4891
33,4898
31,4911
29,4918
34,4891
33,4898
31,4911
29,4918
34,4891
33,4898
31,4911
29,4918
34,4891
33,4898
31,4911
29,4918
26,5103
37,4879
37,4879
29,4918
27,5029
27,5029
29,4918
31,4893
32,4886
31,4893
32,4886
37,4879
27,5029
29,4918
31,4893
32,4886
29,4918
31,4893
32,4886
29,4918
31,4893
32,4886
29,4918
31,4893
32,4886
29,4918
31,4893
29,4918
31,4893
29,4918
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
31,4893
