tiempo,coste
45,4858
25,5131
25,5131
45,4858
26,5048
26,5048
28,4975
29,4949
30,4918
28,4975
29,4949
30,4918
31,4893
37,4865
35,4877
35,4877
32,4886
32,4886
37,4865
31,4893
45,4858
26,5048
28,4975
29,4949
30,4918
35,4877
32,4886
37,4865
31,4893
45,4858
26,5048
28,4975
35,4877
32,4886
37,4865
31,4893
45,4858
26,5048
28,4975
35,4877
32,4886
37,4865
31,4893
45,4858
26,5048
28,4975
35,4877
32,4886
37,4865
31,4893
45,4858
26,5048
28,4975
35,4877
32,4886
37,4865
31,4893
45,4858
26,5048
28,4975
35,4877
32,4886
37,4865
31,4893
45,4858
26,5048
28,4975
35,4877
32,4886
37,4865
31,4893
45,4858
26,5048
28,4975
35,4877
32,4886
31,4893
37,4865
45,4858
26,5048
28,4975
35,4877
32,4886
31,4893
37,4865
45,4858
26,5048
28,4975
35,4877
32,4886
31,4893
37,4865
45,4858
26,5048
28,4975
35,4877
32,4886
31,4893
37,4865
45,4858
45,4858
25,5116
25,5116
45,4858
26,5094
27,5026
31,4893
30,4947
28,5004
29,4957
27,5026
28,5004
39,4865
29,4957
37,4874
33,4886
30,4947
35,4877
39,4865
33,4886
31,4893
35,4877
37,4874
25,5116
45,4858
27,5026
28,5004
29,4957
30,4947
39,4865
33,4886
31,4893
35,4877
37,4874
45,4858
27,5026
28,5004
29,4957
30,4947
39,4865
33,4886
31,4893
35,4877
37,4874
45,4858
27,5026
28,5004
29,4957
30,4947
39,4865
33,4886
31,4893
35,4877
37,4874
45,4858
27,5026
28,5004
29,4957
30,4947
39,4865
33,4886
31,4893
35,4877
45,4858
27,5026
28,5004
29,4957
30,4947
39,4865
33,4886
31,4893
35,4877
45,4858
27,5026
28,5004
29,4957
30,4947
33,4886
31,4893
39,4865
35,4877
45,4858
27,5026
28,5004
29,4957
30,4947
33,4886
31,4893
39,4865
35,4877
45,4858
27,5026
28,5004
29,4957
30,4947
33,4886
31,4893
39,4865
35,4877
45,4858
28,4984
37,4865
37,4865
29,4918
29,4918
31,4893
35,4877
35,4877
32,4886
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
45,4858
26,5048
45,4858
26,5048
28,4975
28,4975
29,4918
29,4918
31,4893
37,4865
36,4874
32,4886
32,4886
35,4877
31,4893
37,4865
35,4877
36,4874
45,4858
26,5048
28,4975
29,4918
32,4886
31,4893
37,4865
35,4877
36,4874
45,4858
26,5048
28,4975
29,4918
32,4886
31,4893
37,4865
35,4877
36,4874
45,4858
26,5048
28,4975
29,4918
32,4886
31,4893
37,4865
35,4877
36,4874
45,4858
26,5048
28,4975
29,4918
32,4886
31,4893
37,4865
35,4877
36,4874
26,5048
45,4858
28,4975
29,4918
32,4886
31,4893
37,4865
35,4877
36,4874
45,4858
26,5048
28,4975
29,4918
32,4886
31,4893
37,4865
35,4877
36,4874
26,5048
45,4858
28,4975
29,4918
32,4886
31,4893
37,4865
35,4877
36,4874
45,4858
26,5048
28,4975
29,4918
32,4886
31,4893
37,4865
35,4877
36,4874
26,5048
45,4858
28,4975
29,4918
32,4886
31,4893
37,4865
35,4877
36,4874
26,5048
27,5001
42,4858
42,4858
27,5001
29,4918
29,4918
31,4893
37,4865
34,4877
34,4877
37,4865
32,4886
31,4893
32,4886
42,4858
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
42,4858
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
42,4858
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
27,5001
29,4918
34,4877
37,4865
31,4893
32,4886
