tiempo,coste
24,5249
39,4865
39,4865
25,5055
29,4918
28,4975
27,5029
28,4975
29,4918
31,4893
26,5048
27,5029
37,4874
35,4877
32,4886
32,4886
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
32,4886
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
32,4886
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
32,4886
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
31,4893
26,5048
35,4877
37,4874
39,4865
28,4975
29,4918
31,4893
26,5048
35,4877
37,4874
38,4874
25,5055
38,4874
28,4991
29,4918
26,5001
32,4886
31,4911
37,4881
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
29,4918
31,4911
37,4881
38,4874
28,4991
24,5146
24,5146
38,4879
38,4879
26,5063
29,4918
28,4991
25,5074
27,5001
31,4911
33,4898
25,5074
27,5001
28,4991
37,4886
34,4891
33,4898
31,4911
29,4918
34,4891
37,4886
38,4879
27,5001
33,4898
31,4911
29,4918
34,4891
37,4886
38,4879
27,5001
33,4898
31,4911
29,4918
37,4886
38,4879
27,5001
33,4898
31,4911
29,4918
37,4886
38,4879
27,5001
