tiempo,coste
25,5099
39,4865
39,4865
25,5099
28,5026
29,4975
31,4945
32,4911
26,5077
27,5048
27,5048
28,5026
26,5077
30,4962
31,4945
33,4902
36,4886
36,4886
29,4975
37,4874
30,4962
33,4902
32,4911
37,4874
25,5099
39,4865
27,5048
28,5026
26,5077
31,4945
36,4886
29,4975
30,4962
33,4902
32,4911
37,4874
39,4865
25,5099
27,5048
26,5077
28,5026
31,4945
36,4886
29,4975
30,4962
33,4902
32,4911
25,5099
27,5048
28,5026
26,5077
31,4945
29,4975
30,4962
36,4886
33,4902
32,4911
25,5099
27,5048
28,5026
26,5077
31,4945
29,4975
30,4962
36,4886
33,4902
32,4911
25,5099
27,5048
26,5077
28,5026
31,4945
29,4975
30,4962
36,4886
33,4902
32,4911
25,5099
27,5048
26,5077
28,5026
31,4945
29,4975
30,4962
36,4886
33,4902
32,4911
25,5099
27,5048
28,5026
26,5077
31,4945
29,4975
30,4962
36,4886
33,4902
32,4911
25,5099
27,5048
28,5026
28,5021
51,4865
51,4865
28,5021
30,4997
31,4957
34,4911
33,4933
40,4874
32,4949
29,5013
30,4997
33,4933
38,4898
39,4886
39,4886
36,4902
34,4911
40,4874
31,4957
29,5013
32,4949
36,4902
38,4898
51,4865
28,5021
30,4997
33,4933
39,4886
34,4911
31,4957
29,5013
32,4949
36,4902
38,4898
28,5021
51,4865
30,4997
33,4933
34,4911
39,4886
31,4957
29,5013
32,4949
36,4902
38,4898
51,4865
28,5021
33,4933
30,4997
34,4911
39,4886
31,4957
29,5013
32,4949
36,4902
38,4898
28,5021
33,4933
30,4997
34,4911
39,4886
31,4957
32,4949
29,5013
36,4902
38,4898
28,5021
30,4997
33,4933
34,4911
39,4886
31,4957
29,5013
32,4949
36,4902
38,4898
28,5021
30,4997
33,4933
34,4911
39,4886
31,4957
32,4949
29,5013
36,4902
38,4898
28,5021
30,4997
33,4933
34,4911
39,4886
31,4957
32,4949
29,5013
36,4902
38,4898
28,5021
30,4997
33,4933
27,5079
