tiempo,coste
27,5001
46,4858
27,5001
46,4858
29,4949
31,4893
29,4949
35,4877
41,4870
33,4886
31,4893
35,4877
43,4865
33,4886
41,4870
43,4865
46,4858
27,5001
29,4949
31,4893
35,4877
33,4886
41,4870
43,4865
46,4858
27,5001
29,4949
31,4893
35,4877
41,4870
33,4886
43,4865
46,4858
27,5001
29,4949
31,4893
35,4877
41,4870
33,4886
43,4865
46,4858
27,5001
29,4949
31,4893
35,4877
41,4870
33,4886
43,4865
27,5001
46,4858
29,4949
31,4893
35,4877
41,4870
33,4886
43,4865
27,5001
46,4858
29,4949
31,4893
35,4877
41,4870
33,4886
43,4865
46,4858
27,5001
29,4949
31,4893
35,4877
41,4870
33,4886
43,4865
27,5001
46,4858
29,4949
31,4893
35,4877
33,4886
41,4870
43,4865
27,5001
46,4858
29,4949
31,4893
35,4877
41,4870
33,4886
43,4865
27,5001
46,4858
29,4949
31,4893
35,4877
33,4886
41,4870
43,4865
27,5001
46,4858
29,4949
31,4893
24,5130
43,4865
24,5130
43,4865
25,5074
28,4991
29,4947
27,5023
28,4991
29,4947
30,4918
25,5074
26,5047
30,4918
31,4893
26,5047
27,5023
35,4877
32,4886
41,4874
32,4886
31,4893
35,4877
42,4870
42,4870
41,4874
24,5130
28,4991
29,4947
25,5074
30,4918
26,5047
27,5023
32,4886
31,4893
35,4877
42,4870
41,4874
24,5130
28,4991
29,4947
25,5074
30,4918
26,5047
27,5023
32,4886
31,4893
35,4877
42,4870
41,4874
24,5130
28,4991
29,4947
25,5074
30,4918
26,5047
27,5023
32,4886
31,4893
35,4877
42,4870
41,4874
24,5130
28,4991
29,4947
25,5074
30,4918
26,5047
27,5023
32,4886
31,4893
42,4870
41,4874
24,5130
28,4991
29,4947
25,5074
30,4918
26,5047
27,5023
32,4886
31,4893
42,4870
41,4874
24,5130
28,4991
29,4947
25,5074
30,4918
26,5047
27,5023
31,4893
42,4870
41,4874
32,4886
24,5130
28,4991
29,4947
25,5074
30,4918
45,4858
24,5317
45,4858
25,5178
28,4970
27,5076
26,5149
27,5076
30,4914
28,4970
25,5178
26,5149
44,4872
39,4886
37,4895
34,4898
39,4886
32,4907
43,4877
30,4914
43,4877
32,4907
34,4898
37,4895
45,4858
27,5076
28,4970
25,5178
26,5149
39,4886
30,4914
43,4877
32,4907
34,4898
37,4895
45,4858
27,5076
28,4970
25,5178
26,5149
39,4886
30,4914
43,4877
32,4907
34,4898
37,4895
45,4858
27,5076
28,4970
25,5178
26,5149
39,4886
43,4877
32,4907
34,4898
37,4895
45,4858
27,5076
28,4970
25,5178
26,5149
39,4886
43,4877
32,4907
34,4898
37,4895
45,4858
27,5076
28,4970
25,5178
26,5149
39,4886
43,4877
32,4907
34,4898
37,4895
45,4858
27,5076
28,4970
25,5178
26,5149
39,4886
43,4877
32,4907
34,4898
37,4895
45,4858
27,5076
28,4970
25,5178
26,5149
39,4886
43,4877
34,4898
37,4895
45,4858
27,5076
25,5178
26,5149
28,4970
25,5112
42,4870
42,4870
25,5112
28,5048
29,4982
30,4918
29,4982
26,5084
27,5055
26,5084
35,4902
36,4891
38,4889
41,4877
39,4879
32,4911
35,4902
32,4911
30,4918
27,5055
28,5048
36,4891
39,4879
38,4889
42,4870
25,5112
29,4982
26,5084
39,4879
32,4911
35,4902
30,4918
27,5055
28,5048
36,4891
38,4889
42,4870
25,5112
29,4982
26,5084
39,4879
35,4902
32,4911
30,4918
27,5055
28,5048
36,4891
38,4889
42,4870
25,5112
29,4982
26,5084
39,4879
35,4902
32,4911
30,4918
27,5055
28,5048
36,4891
38,4889
25,5112
29,4982
26,5084
39,4879
35,4902
32,4911
30,4918
27,5055
28,5048
36,4891
38,4889
25,5112
29,4982
26,5084
39,4879
32,4911
35,4902
30,4918
27,5055
28,5048
36,4891
38,4889
25,5112
29,4982
26,5084
32,4911
35,4902
30,4918
27,5055
28,5048
36,4891
38,4889
25,5112
29,4982
26,5084
35,4902
32,4911
30,4918
27,5055
43,4865
26,5052
26,5052
43,4865
28,5001
29,4947
29,4947
27,5023
30,4918
31,4893
30,4918
27,5023
28,5001
41,4874
35,4877
33,4886
33,4886
31,4893
35,4877
41,4874
26,5052
43,4865
29,4947
30,4918
27,5023
28,5001
33,4886
31,4893
35,4877
41,4874
26,5052
43,4865
29,4947
30,4918
27,5023
28,5001
33,4886
31,4893
35,4877
41,4874
43,4865
26,5052
29,4947
30,4918
27,5023
28,5001
33,4886
31,4893
35,4877
41,4874
43,4865
26,5052
29,4947
30,4918
27,5023
28,5001
33,4886
31,4893
35,4877
41,4874
43,4865
26,5052
29,4947
30,4918
27,5023
28,5001
33,4886
31,4893
35,4877
41,4874
26,5052
43,4865
29,4947
30,4918
27,5023
28,5001
33,4886
31,4893
35,4877
41,4874
26,5052
43,4865
29,4947
30,4918
27,5023
28,5001
33,4886
31,4893
35,4877
41,4874
43,4865
26,5052
29,4947
30,4918
27,5023
28,5001
33,4886
31,4893
35,4877
41,4874
37,4877
24,5264
37,4877
24,5264
27,5093
28,5001
25,5176
26,5164
27,5093
29,4976
30,4918
28,5001
30,4918
29,4976
31,4893
25,5176
26,5164
32,4886
32,4886
31,4893
24,5264
37,4877
27,5093
28,5001
30,4918
29,4976
25,5176
26,5164
32,4886
31,4893
24,5264
37,4877
27,5093
28,5001
30,4918
29,4976
25,5176
26,5164
32,4886
31,4893
37,4877
24,5264
27,5093
28,5001
30,4918
29,4976
25,5176
26,5164
32,4886
31,4893
24,5264
37,4877
27,5093
28,5001
30,4918
29,4976
25,5176
26,5164
32,4886
31,4893
37,4877
24,5264
27,5093
28,5001
30,4918
29,4976
25,5176
26,5164
32,4886
31,4893
37,4877
24,5264
27,5093
28,5001
30,4918
29,4976
25,5176
26,5164
32,4886
31,4893
37,4877
24,5264
27,5093
28,5001
30,4918
29,4976
25,5176
26,5164
32,4886
31,4893
37,4877
24,5264
27,5093
28,5001
30,4918
29,4976
25,5176
26,5164
32,4886
31,4893
24,5141
42,4865
42,4865
24,5141
26,5077
27,5033
25,5112
28,5004
29,4969
26,5077
27,5033
29,4969
28,5004
30,4940
25,5112
36,4902
30,4940
31,4918
37,4881
32,4911
38,4874
32,4911
38,4874
36,4902
31,4918
37,4881
42,4865
24,5141
26,5077
27,5033
29,4969
25,5112
28,5004
30,4940
32,4911
38,4874
36,4902
31,4918
37,4881
42,4865
24,5141
26,5077
27,5033
29,4969
25,5112
28,5004
30,4940
32,4911
38,4874
36,4902
31,4918
37,4881
24,5141
42,4865
26,5077
27,5033
29,4969
25,5112
28,5004
30,4940
32,4911
38,4874
36,4902
31,4918
37,4881
24,5141
42,4865
26,5077
27,5033
29,4969
25,5112
28,5004
30,4940
32,4911
38,4874
36,4902
31,4918
37,4881
24,5141
42,4865
26,5077
27,5033
29,4969
25,5112
28,5004
30,4940
38,4874
32,4911
36,4902
31,4918
37,4881
42,4865
24,5141
26,5077
27,5033
29,4969
25,5112
28,5004
30,4940
38,4874
26,5206
48,4858
26,5206
48,4858
27,5150
28,5001
29,4976
30,4918
27,5150
28,5001
30,4918
31,4893
29,4976
37,4877
32,4886
32,4886
42,4874
44,4865
31,4893
37,4877
44,4865
43,4870
43,4870
42,4874
48,4858
26,5206
27,5150
28,5001
30,4918
29,4976
32,4886
31,4893
37,4877
44,4865
43,4870
42,4874
48,4858
26,5206
27,5150
28,5001
30,4918
29,4976
32,4886
31,4893
37,4877
44,4865
43,4870
42,4874
48,4858
26,5206
27,5150
28,5001
30,4918
29,4976
32,4886
31,4893
37,4877
44,4865
43,4870
42,4874
26,5206
48,4858
27,5150
28,5001
30,4918
29,4976
32,4886
31,4893
37,4877
44,4865
43,4870
42,4874
26,5206
48,4858
27,5150
28,5001
30,4918
29,4976
32,4886
31,4893
37,4877
44,4865
43,4870
42,4874
48,4858
26,5206
27,5150
28,5001
30,4918
29,4976
32,4886
31,4893
37,4877
44,4865
43,4870
42,4874
48,4858
26,5206
27,5150
28,5001
25,5108
41,4865
41,4865
25,5108
26,5079
27,5025
27,5025
29,4969
26,5079
30,4940
28,4996
28,4996
29,4969
31,4918
30,4940
37,4881
36,4898
39,4874
39,4874
31,4918
37,4881
33,4911
33,4911
34,4907
35,4902
35,4902
36,4898
34,4907
41,4865
25,5108
27,5025
26,5079
28,4996
29,4969
30,4940
39,4874
31,4918
37,4881
33,4911
35,4902
34,4907
36,4898
25,5108
41,4865
27,5025
26,5079
28,4996
29,4969
30,4940
39,4874
31,4918
37,4881
33,4911
35,4902
34,4907
25,5108
27,5025
26,5079
28,4996
29,4969
30,4940
39,4874
31,4918
37,4881
33,4911
35,4902
34,4907
25,5108
27,5025
26,5079
28,4996
29,4969
30,4940
39,4874
31,4918
37,4881
33,4911
35,4902
34,4907
25,5108
27,5025
26,5079
28,4996
29,4969
30,4940
39,4874
31,4918
37,4881
33,4911
35,4902
34,4907
25,5108
27,5025
