tiempo,coste
40,4865
23,5337
40,4865
23,5337
24,5231
25,5167
26,5138
27,5079
27,5079
28,5021
30,4974
31,4940
26,5138
28,5021
29,4996
31,4940
29,4996
30,4974
32,4918
39,4874
33,4911
36,4891
34,4902
37,4882
32,4918
35,4898
33,4911
36,4891
37,4882
38,4877
34,4902
35,4898
38,4877
39,4874
23,5337
40,4865
27,5079
26,5138
28,5021
31,4940
29,4996
30,4974
32,4918
36,4891
33,4911
37,4882
34,4902
35,4898
38,4877
39,4874
23,5337
40,4865
27,5079
28,5021
31,4940
29,4996
30,4974
32,4918
36,4891
33,4911
37,4882
34,4902
35,4898
38,4877
39,4874
23,5337
40,4865
27,5079
28,5021
31,4940
29,4996
30,4974
32,4918
33,4911
36,4891
37,4882
34,4902
35,4898
38,4877
39,4874
23,5337
40,4865
27,5079
28,5021
31,4940
29,4996
30,4974
32,4918
33,4911
36,4891
37,4882
34,4902
35,4898
38,4877
39,4874
40,4865
23,5337
27,5079
31,4940
29,4996
42,4865
24,5130
42,4865
24,5130
26,5047
28,4991
25,5074
30,4918
29,4965
26,5047
25,5074
28,4991
29,4965
32,4893
30,4918
41,4874
37,4877
34,4886
34,4886
32,4893
37,4877
41,4874
42,4865
24,5130
26,5047
25,5074
28,4991
29,4965
30,4918
34,4886
32,4893
37,4877
41,4874
42,4865
24,5130
26,5047
25,5074
28,4991
29,4965
30,4918
34,4886
32,4893
37,4877
41,4874
24,5130
42,4865
26,5047
25,5074
28,4991
29,4965
30,4918
34,4886
32,4893
37,4877
41,4874
24,5130
42,4865
26,5047
28,4991
25,5074
29,4965
30,4918
34,4886
32,4893
37,4877
41,4874
24,5130
42,4865
26,5047
25,5074
28,4991
29,4965
30,4918
34,4886
32,4893
37,4877
41,4874
42,4865
24,5130
26,5047
25,5074
28,4991
29,4965
30,4918
34,4886
32,4893
37,4877
41,4874
42,4865
24,5130
26,5047
28,4991
25,5074
29,4965
30,4918
34,4886
32,4893
37,4877
41,4874
24,5130
43,4865
24,5138
24,5138
43,4865
26,5047
25,5111
26,5047
28,4991
28,4991
29,4947
29,4947
30,4918
25,5111
30,4918
31,4893
41,4874
35,4877
32,4886
32,4886
31,4893
35,4877
41,4874
43,4865
24,5138
26,5047
28,4991
29,4947
25,5111
30,4918
32,4886
31,4893
35,4877
41,4874
24,5138
43,4865
26,5047
28,4991
29,4947
25,5111
30,4918
32,4886
31,4893
35,4877
41,4874
43,4865
24,5138
26,5047
28,4991
29,4947
25,5111
30,4918
32,4886
31,4893
35,4877
41,4874
24,5138
43,4865
26,5047
28,4991
29,4947
25,5111
30,4918
32,4886
31,4893
35,4877
41,4874
43,4865
24,5138
26,5047
28,4991
29,4947
25,5111
30,4918
32,4886
31,4893
35,4877
41,4874
43,4865
26,5047
28,4991
29,4947
25,5111
30,4918
32,4886
31,4893
35,4877
41,4874
43,4865
26,5047
28,4991
29,4947
25,5111
30,4918
32,4886
31,4893
35,4877
41,4874
43,4865
26,5047
28,4991
39,4865
22,5223
22,5223
39,4865
26,5001
25,5074
23,5189
24,5130
24,5130
25,5074
29,4963
30,4914
23,5189
26,5001
28,4970
31,4907
33,4886
33,4886
37,4874
35,4877
28,4970
30,4914
29,4963
35,4877
37,4874
22,5223
39,4865
24,5130
25,5074
23,5189
26,5001
33,4886
28,4970
30,4914
29,4963
35,4877
37,4874
22,5223
39,4865
24,5130
25,5074
23,5189
26,5001
33,4886
28,4970
30,4914
29,4963
35,4877
37,4874
22,5223
39,4865
24,5130
25,5074
23,5189
26,5001
33,4886
30,4914
28,4970
35,4877
37,4874
39,4865
22,5223
24,5130
25,5074
23,5189
26,5001
33,4886
30,4914
28,4970
35,4877
37,4874
22,5223
39,4865
24,5130
25,5074
23,5189
26,5001
33,4886
28,4970
35,4877
37,4874
30,4914
22,5223
39,4865
24,5130
25,5074
23,5189
26,5001
33,4886
28,4970
35,4877
37,4874
30,4914
22,5223
39,4865
24,5130
25,5074
23,5189
26,5001
33,4886
24,5130
39,4872
24,5130
26,5047
28,4991
25,5074
30,4949
31,4918
26,5047
28,4991
25,5074
29,4965
32,4893
31,4918
29,4965
30,4949
37,4881
34,4886
32,4893
34,4886
