tiempo,coste
25,5335
43,4865
43,4865
26,5136
28,5011
27,5116
29,4947
30,4918
31,4893
30,4918
27,5116
35,4877
33,4886
41,4874
33,4886
31,4893
42,4870
35,4877
42,4870
41,4874
43,4865
30,4918
33,4886
31,4893
35,4877
42,4870
41,4874
43,4865
30,4918
33,4886
31,4893
35,4877
42,4870
41,4874
43,4865
30,4918
33,4886
31,4893
35,4877
42,4870
41,4874
43,4865
30,4918
33,4886
31,4893
35,4877
42,4870
41,4874
30,4918
33,4886
31,4893
35,4877
42,4870
41,4874
30,4918
33,4886
31,4893
35,4877
30,4918
33,4886
31,4893
35,4877
30,4918
33,4886
31,4893
35,4877
30,4918
33,4886
31,4893
35,4877
30,4918
33,4886
31,4893
35,4877
30,4918
33,4886
31,4893
35,4877
30,4918
35,4877
33,4886
31,4893
30,4918
35,4877
33,4886
31,4893
30,4918
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
41,4879
22,5223
41,4879
23,5189
24,5130
24,5130
25,5074
27,5025
28,4991
23,5189
29,4969
30,4940
25,5074
26,5047
31,4918
28,4991
30,4940
26,5047
29,4969
27,5025
33,4909
34,4893
36,4884
31,4918
34,4893
33,4909
36,4884
24,5130
23,5189
25,5074
28,4991
30,4940
26,5047
27,5025
29,4969
31,4918
34,4893
33,4909
36,4884
24,5130
23,5189
25,5074
28,4991
30,4940
26,5047
27,5025
29,4969
31,4918
34,4893
33,4909
36,4884
24,5130
23,5189
25,5074
28,4991
30,4940
26,5047
27,5025
29,4969
31,4918
34,4893
33,4909
36,4884
24,5130
23,5189
25,5074
28,4991
30,4940
26,5047
27,5025
29,4969
31,4918
34,4893
33,4909
36,4884
24,5130
23,5189
25,5074
28,4991
30,4940
26,5047
29,4969
27,5025
31,4918
34,4893
33,4909
36,4884
24,5130
23,5189
25,5074
28,4991
30,4940
26,5047
27,5025
29,4969
31,4918
34,4893
33,4909
36,4884
24,5130
26,5085
55,4872
55,4872
27,5001
29,4918
27,5001
29,4918
31,4893
42,4874
37,4877
32,4886
32,4886
31,4893
37,4877
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
32,4886
31,4893
42,4874
27,5001
29,4918
31,4893
32,4886
27,5001
29,4918
31,4893
32,4886
27,5001
29,4918
31,4893
32,4886
27,5001
29,4918
31,4893
32,4886
27,5001
29,4918
31,4893
32,4886
24,5130
37,4874
37,4874
24,5130
29,4918
28,4991
25,5074
26,5055
27,5001
31,4893
29,4918
33,4886
25,5074
26,5055
27,5001
28,4991
31,4893
37,4874
24,5130
29,4918
25,5074
26,5055
27,5001
28,4991
31,4893
37,4874
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
37,4874
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
29,4918
25,5074
26,5055
28,4991
31,4893
24,5130
28,4991
29,4918
25,5074
26,5055
31,4893
24,5130
23,5160
37,4877
23,5160
26,5052
25,5131
28,4991
29,4947
27,5023
28,4991
29,4947
27,5023
30,4918
30,4918
31,4893
24,5138
32,4886
32,4886
31,4893
24,5138
25,5131
23,5160
28,4991
29,4947
27,5023
30,4918
32,4886
31,4893
24,5138
25,5131
23,5160
28,4991
29,4947
27,5023
30,4918
32,4886
31,4893
24,5138
25,5131
23,5160
28,4991
29,4947
27,5023
30,4918
32,4886
31,4893
24,5138
25,5131
23,5160
28,4991
29,4947
27,5023
30,4918
32,4886
31,4893
24,5138
25,5131
23,5160
28,4991
29,4947
27,5023
30,4918
32,4886
31,4893
24,5138
25,5131
23,5160
28,4991
29,4947
27,5023
30,4918
32,4886
31,4893
24,5138
25,5131
23,5160
28,4991
29,4947
27,5023
30,4918
32,4886
31,4893
24,5138
25,5131
23,5160
28,4991
29,4947
27,5023
30,4918
32,4886
31,4893
24,5138
25,5131
23,5160
28,4991
29,4947
