tiempo,coste
39,4870
24,5141
39,4870
24,5141
27,5011
29,4918
28,4975
25,5099
26,5048
25,5099
26,5048
28,4975
29,4918
31,4893
37,4877
32,4886
37,4877
32,4886
31,4893
24,5141
25,5099
26,5048
28,4975
29,4918
37,4877
32,4886
31,4893
24,5141
25,5099
26,5048
28,4975
29,4918
37,4877
32,4886
31,4893
25,5099
26,5048
28,4975
29,4918
37,4877
32,4886
31,4893
25,5099
26,5048
28,4975
29,4918
37,4877
32,4886
31,4893
28,4975
25,5099
29,4918
26,5048
37,4877
32,4886
31,4893
28,4975
25,5099
29,4918
26,5048
37,4877
32,4886
31,4893
28,4975
25,5099
29,4918
26,5048
37,4877
32,4886
31,4893
28,4975
25,5099
29,4918
26,5048
37,4877
32,4886
31,4893
28,4975
25,5099
29,4918
26,5048
37,4877
32,4886
31,4893
28,4975
25,5099
29,4918
26,5048
37,4877
32,4886
31,4893
28,4975
25,5099
29,4918
26,5048
37,4877
32,4886
31,4893
28,4975
25,5099
24,5130
40,4870
26,5047
29,4918
28,4991
25,5074
27,5001
25,5074
29,4918
31,4893
35,4877
27,5001
28,4991
35,4877
32,4886
32,4886
31,4893
25,5074
29,4918
27,5001
28,4991
35,4877
32,4886
31,4893
25,5074
29,4918
27,5001
28,4991
35,4877
32,4886
31,4893
25,5074
29,4918
27,5001
28,4991
35,4877
32,4886
31,4893
29,4918
25,5074
27,5001
28,4991
35,4877
32,4886
31,4893
29,4918
25,5074
27,5001
28,4991
35,4877
32,4886
31,4893
29,4918
25,5074
27,5001
28,4991
35,4877
32,4886
31,4893
29,4918
25,5074
27,5001
28,4991
35,4877
32,4886
31,4893
29,4918
25,5074
27,5001
28,4991
35,4877
32,4886
31,4893
29,4918
25,5074
27,5001
28,4991
35,4877
32,4886
31,4893
29,4918
25,5074
27,5001
28,4991
35,4877
32,4886
31,4893
29,4918
25,5074
27,5001
28,4991
35,4877
32,4886
31,4893
29,4918
25,5074
27,5001
28,4991
35,4877
32,4886
26,5001
39,4865
39,4865
26,5001
28,4994
29,4918
30,4914
31,4893
36,4874
32,4886
35,4877
32,4886
31,4893
35,4877
36,4874
29,4918
27,4997
30,4914
27,4997
28,4994
26,5001
39,4865
32,4886
31,4893
35,4877
36,4874
29,4918
30,4914
27,4997
28,4994
26,5001
39,4865
32,4886
31,4893
35,4877
36,4874
29,4918
30,4914
27,4997
28,4994
26,5001
