tiempo,coste
24,5138
41,4865
25,5099
28,4984
29,4918
26,5048
26,5048
27,5001
29,4918
31,4893
27,5001
39,4874
35,4877
32,4886
32,4886
31,4893
35,4877
26,5048
29,4918
27,5001
32,4886
31,4893
35,4877
29,4918
27,5001
32,4886
31,4893
35,4877
29,4918
27,5001
32,4886
31,4893
35,4877
29,4918
27,5001
32,4886
31,4893
35,4877
29,4918
27,5001
32,4886
31,4893
35,4877
29,4918
27,5001
32,4886
31,4893
35,4877
29,4918
27,5001
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
24,5155
43,4865
43,4865
25,5099
27,5044
28,4975
29,4918
28,4975
26,5048
31,4893
29,4918
35,4877
41,4870
33,4886
31,4893
35,4877
41,4870
33,4886
26,5048
31,4893
35,4877
41,4870
33,4886
26,5048
31,4893
35,4877
41,4870
33,4886
26,5048
31,4893
35,4877
33,4886
26,5048
31,4893
35,4877
33,4886
26,5048
31,4893
35,4877
33,4886
26,5048
31,4893
35,4877
33,4886
26,5048
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
35,4877
33,4886
31,4893
24,5138
43,4865
24,5138
29,4947
25,5074
27,5048
28,4991
28,4991
30,4918
30,4918
31,4893
25,5074
26,5055
35,4877
39,4870
35,4877
32,4886
32,4886
39,4870
31,4893
26,5055
27,5048
24,5138
28,4991
30,4918
25,5074
35,4877
32,4886
31,4893
26,5055
27,5048
24,5138
28,4991
30,4918
25,5074
35,4877
32,4886
31,4893
26,5055
27,5048
24,5138
28,4991
30,4918
25,5074
35,4877
32,4886
31,4893
26,5055
27,5048
24,5138
28,4991
30,4918
25,5074
35,4877
32,4886
31,4893
26,5055
27,5048
24,5138
28,4991
30,4918
25,5074
35,4877
32,4886
31,4893
26,5055
27,5048
24,5138
28,4991
30,4918
25,5074
35,4877
32,4886
31,4893
26,5055
27,5048
24,5138
28,4991
30,4918
25,5074
35,4877
32,4886
31,4893
26,5055
27,5048
24,5138
28,4991
30,4918
25,5074
35,4877
32,4886
31,4893
26,5055
27,5048
24,5138
28,4991
30,4918
25,5074
35,4877
32,4886
27,5001
41,4865
27,5001
28,4991
29,4918
29,4918
31,4893
32,4886
32,4886
38,4874
37,4877
31,4893
37,4877
38,4874
27,5001
29,4918
32,4886
31,4893
37,4877
38,4874
27,5001
29,4918
32,4886
31,4893
37,4877
38,4874
27,5001
29,4918
32,4886
31,4893
37,4877
38,4874
27,5001
29,4918
32,4886
31,4893
37,4877
38,4874
27,5001
29,4918
32,4886
31,4893
37,4877
38,4874
27,5001
29,4918
32,4886
31,4893
37,4877
38,4874
27,5001
29,4918
32,4886
31,4893
38,4874
27,5001
29,4918
32,4886
31,4893
38,4874
27,5001
29,4918
32,4886
31,4893
38,4874
27,5001
29,4918
32,4886
31,4893
38,4874
27,5001
29,4918
32,4886
31,4893
38,4874
27,5001
29,4918
32,4886
31,4893
38,4874
27,5001
29,4918
32,4886
31,4893
38,4874
27,5001
29,4918
32,4886
31,4893
38,4874
27,5001
29,4918
