tiempo,coste
45,4858
25,5055
45,4858
25,5055
27,5040
28,4975
29,4949
31,4893
29,4949
28,4975
26,5047
35,4877
44,4865
39,4870
35,4877
32,4886
32,4886
31,4893
39,4870
44,4865
25,5055
45,4858
29,4949
28,4975
35,4877
32,4886
31,4893
39,4870
44,4865
25,5055
45,4858
29,4949
28,4975
35,4877
32,4886
31,4893
39,4870
44,4865
25,5055
45,4858
29,4949
28,4975
35,4877
32,4886
31,4893
39,4870
44,4865
25,5055
45,4858
29,4949
28,4975
35,4877
32,4886
31,4893
39,4870
44,4865
25,5055
45,4858
29,4949
28,4975
35,4877
32,4886
31,4893
39,4870
44,4865
25,5055
45,4858
28,4975
29,4949
35,4877
32,4886
31,4893
39,4870
44,4865
45,4858
28,4975
29,4949
35,4877
32,4886
31,4893
39,4870
44,4865
45,4858
28,4975
29,4949
35,4877
32,4886
31,4893
39,4870
44,4865
45,4858
28,4975
29,4949
35,4877
32,4886
31,4893
39,4870
44,4865
45,4858
28,4975
44,4858
24,5130
44,4858
24,5130
27,5040
25,5074
28,4991
28,4991
29,4949
29,4949
30,4918
25,5074
26,5047
30,4918
31,4893
39,4865
37,4874
35,4877
32,4886
32,4886
39,4865
26,5047
31,4893
35,4877
37,4874
24,5130
44,4858
28,4991
29,4949
25,5074
30,4918
32,4886
39,4865
26,5047
31,4893
35,4877
37,4874
44,4858
24,5130
28,4991
29,4949
25,5074
30,4918
32,4886
39,4865
26,5047
31,4893
35,4877
37,4874
44,4858
24,5130
28,4991
25,5074
30,4918
32,4886
39,4865
26,5047
31,4893
35,4877
37,4874
44,4858
24,5130
28,4991
25,5074
30,4918
32,4886
39,4865
26,5047
31,4893
35,4877
37,4874
44,4858
24,5130
28,4991
25,5074
30,4918
32,4886
39,4865
26,5047
31,4893
35,4877
37,4874
24,5130
44,4858
28,4991
25,5074
30,4918
32,4886
39,4865
26,5047
31,4893
35,4877
37,4874
44,4858
24,5130
28,4991
25,5074
30,4918
32,4886
39,4865
24,5130
45,4858
45,4858
24,5130
26,5047
28,4991
25,5074
31,4893
30,4940
28,4991
29,4949
26,5047
25,5074
40,4874
35,4877
41,4865
33,4886
29,4949
30,4940
33,4886
31,4893
41,4865
35,4877
40,4874
45,4858
24,5130
28,4991
26,5047
25,5074
29,4949
