tiempo,coste
24,5306
55,4858
25,5103
28,5049
29,4976
30,4947
28,5049
31,4893
29,4976
30,4947
39,4870
39,4870
35,4877
35,4877
32,4886
32,4886
31,4893
28,5049
29,4976
30,4947
39,4870
35,4877
32,4886
31,4893
28,5049
29,4976
30,4947
39,4870
35,4877
32,4886
31,4893
28,5049
29,4976
30,4947
39,4870
35,4877
32,4886
31,4893
39,4870
28,5049
29,4976
30,4947
35,4877
32,4886
31,4893
39,4870
28,5049
29,4976
30,4947
35,4877
32,4886
31,4893
39,4870
28,5049
29,4976
30,4947
35,4877
32,4886
31,4893
39,4870
28,5049
29,4976
30,4947
35,4877
32,4886
31,4893
39,4870
28,5049
29,4976
30,4947
35,4877
32,4886
31,4893
39,4870
28,5049
29,4976
30,4947
35,4877
32,4886
31,4893
39,4870
28,5049
29,4976
30,4947
35,4877
32,4886
31,4893
39,4870
28,5049
29,4976
30,4947
35,4877
32,4886
31,4893
39,4870
28,5049
29,4976
30,4947
35,4877
32,4886
27,5057
44,4858
28,4982
29,4918
30,4907
32,4886
37,4865
29,4918
32,4886
36,4874
34,4877
37,4865
34,4877
36,4874
29,4918
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
37,4865
34,4877
36,4874
32,4886
23,5324
42,4865
24,5174
26,5001
29,4918
29,4918
31,4893
41,4874
35,4877
32,4886
32,4886
31,4893
35,4877
41,4874
29,4918
32,4886
31,4893
35,4877
41,4874
29,4918
32,4886
31,4893
35,4877
41,4874
29,4918
32,4886
31,4893
35,4877
41,4874
29,4918
32,4886
31,4893
35,4877
41,4874
29,4918
32,4886
31,4893
35,4877
41,4874
29,4918
32,4886
31,4893
35,4877
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
29,4918
32,4886
31,4893
41,4874
23,5239
43,4865
43,4865
25,5074
24,5215
28,5001
28,5001
29,4947
29,4947
30,4918
30,4918
31,4893
35,4877
42,4872
32,4886
32,4886
31,4893
41,4874
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
43,4865
29,4947
30,4918
32,4886
31,4893
41,4874
29,4947
30,4918
32,4886
24,5167
39,4865
26,5144
27,5048
30,4918
28,5004
29,4975
27,5048
31,4893
29,4975
37,4881
32,4886
38,4874
38,4874
32,4886
37,4881
27,5048
29,4975
38,4874
32,4886
37,4881
27,5048
29,4975
38,4874
32,4886
37,4881
27,5048
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
29,4975
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
38,4874
37,4881
24,5167
43,4865
29,4918
28,4991
27,5039
25,5103
25,5103
28,4991
26,5055
31,4893
26,5055
39,4874
35,4877
32,4886
32,4886
31,4893
39,4874
35,4877
28,4991
26,5055
32,4886
31,4893
39,4874
28,4991
26,5055
32,4886
31,4893
28,4991
26,5055
32,4886
31,4893
28,4991
26,5055
32,4886
31,4893
28,4991
26,5055
32,4886
31,4893
28,4991
26,5055
32,4886
31,4893
28,4991
26,5055
32,4886
31,4893
28,4991
26,5055
32,4886
31,4893
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
26,5055
31,4893
32,4886
28,4991
25,5130
41,4865
29,4918
26,5055
28,4991
27,5048
28,4991
31,4893
38,4874
35,4877
32,4886
32,4886
31,4893
27,5048
35,4877
38,4874
28,4991
32,4886
31,4893
35,4877
38,4874
28,4991
32,4886
31,4893
35,4877
38,4874
28,4991
32,4886
31,4893
35,4877
28,4991
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
35,4877
32,4886
31,4893
32,4886
31,4893
31,4893
32,4886
27,5122
44,4858
44,4858
28,4991
29,4947
31,4893
39,4865
38,4874
35,4877
32,4886
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
32,4886
31,4893
35,4877
38,4874
44,4858
26,5105
43,4865
43,4865
29,4918
28,5004
27,5033
27,5033
28,5004
29,4918
31,4893
41,4874
35,4877
32,4886
32,4886
31,4893
35,4877
41,4874
27,5033
29,4918
32,4886
31,4893
35,4877
41,4874
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
32,4886
31,4893
35,4877
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
35,4877
32,4886
31,4893
29,4918
32,4886
31,4893
29,4918
32,4886
39,4865
26,5074
26,5074
39,4865
29,4918
28,4991
27,5001
29,4918
31,4893
38,4874
35,4877
27,5001
28,4991
32,4886
32,4886
31,4893
35,4877
38,4874
39,4865
26,5074
29,4918
27,5001
28,4991
32,4886
31,4893
35,4877
38,4874
39,4865
26,5074
29,4918
27,5001
28,4991
32,4886
31,4893
35,4877
38,4874
39,4865
26,5074
29,4918
27,5001
28,4991
32,4886
31,4893
35,4877
38,4874
39,4865
26,5074
29,4918
27,5001
28,4991
32,4886
31,4893
35,4877
38,4874
26,5074
39,4865
29,4918
27,5001
28,4991
32,4886
31,4893
35,4877
38,4874
39,4865
26,5074
29,4918
27,5001
28,4991
32,4886
31,4893
35,4877
38,4874
39,4865
26,5074
29,4918
27,5001
28,4991
32,4886
31,4893
35,4877
38,4874
26,5074
39,4865
29,4918
27,5001
28,4991
32,4886
31,4893
35,4877
38,4874
26,5074
39,4865
29,4918
27,5001
28,4991
32,4886
31,4893
35,4877
26,5074
39,4865
