Algoritmo (operador de mutacion),Hipervolumen,IGD,Epsilon,Cardinalidad del cto. de soluciones no-dominadas
n356_1 (mutacion actividades),55747.24,0.0,0.0,36
n356_1 (mutacion actividades),55689.14,1.1111,1.0,36
n356_1 (mutacion actividades),55689.94,1.0967,1.0,36
n356_1 (mutacion actividades),55689.94,1.0967,1.0,36
n356_1 (mutacion actividades),55625.04,2.8372,2.0,36
n356_1 (mutacion actividades),55689.94,1.0967,1.0,36
n356_1 (mutacion actividades),55709.04,1.0611,1.0,36
n356_1 (mutacion actividades),55689.94,1.0967,1.0,36
n356_1 (mutacion actividades),55677.54,1.2034,1.0,36
n356_1 (mutacion actividades),55747.24,0.0,0.0,36
n356_1 (mutacion modo),55689.94,1.0967,1.0,36
n356_1 (mutacion modo),55728.14,0.5306,1.0,36
n356_1 (mutacion modo),55651.94,2.2371,2.0,35
n356_1 (mutacion modo),55689.94,1.0967,1.0,36
n356_1 (mutacion modo),55629.34,2.2375,2.0,36
n356_1 (mutacion modo),55709.04,1.0611,1.0,36
n356_1 (mutacion modo),55728.14,0.5306,1.0,36
n356_1 (mutacion modo),55602.74,3.6036,2.0,35
n356_1 (mutacion modo),55747.24,0.0,0.0,36
n356_1 (mutacion modo),55689.94,1.0967,1.0,36
