tiempo,coste
60.0,3786.600000000001
23.0,5098.299999999999
26.0,4945.699999999999
28.0,4791.9
29.0,4684.499999999999
33.0,4476.2
30.0,4624.9
24.0,5038.7
25.0,4974.4
34.0,4411.9
31.0,4560.599999999999
32.0,4531.899999999999
35.0,4383.199999999999
38.0,4275.2
36.0,4339.4
39.0,4231.400000000001
37.0,4303.9
41.0,4172.7
42.0,4139.5
59.0,3816.600000000001
51.0,3961.3
57.0,3840.3000000000006
49.0,3985.000000000001
45.0,4050.8
56.0,3870.3000000000006
48.0,4015.000000000001
44.0,4080.8
43.0,4109.5
52.0,3931.3
40.0,4201.400000000001
55.0,3899.000000000001
47.0,4043.7
53.0,3906.1
21.0,5228.099999999999
27.0,4814.299999999999
22.0,5208.199999999999
