Algoritmo (operador de mutacion),Hipervolumen,IGD,Epsilon,Cardinalidad del cto. de soluciones no-dominadas
r557_10 (mutacion actividades),16887.17,1.7556,1.0,21
r557_10 (mutacion actividades),16725.37,6.2102,2.0,19
r557_10 (mutacion actividades),16466.09,6.1765,3.0,18
r557_10 (mutacion actividades),16455.21,12.6469,3.0,17
r557_10 (mutacion actividades),16674.29,11.1807,2.0,16
r557_10 (mutacion actividades),16728.17,3.221,2.4,21
r557_10 (mutacion actividades),16615.69,2.5738,2.0,20
r557_10 (mutacion actividades),16600.17,4.6463,2.4,21
r557_10 (mutacion actividades),16607.49,3.056,2.0,19
r557_10 (mutacion actividades),16579.55,5.9043,5.8,23
r557_10 (mutacion modo),16812.45,2.6805,2.0,21
r557_10 (mutacion modo),16802.77,2.0127,1.8,19
r557_10 (mutacion modo),16636.09,2.4947,2.0,18
r557_10 (mutacion modo),16945.85,2.2826,1.0,20
r557_10 (mutacion modo),16830.37,3.138,2.0,19
r557_10 (mutacion modo),17013.25,1.3174,1.0,20
r557_10 (mutacion modo),16980.45,0.9669,1.0,22
r557_10 (mutacion modo),17006.05,1.1539,1.0,20
r557_10 (mutacion modo),16869.85,1.2975,3.0,23
r557_10 (mutacion modo),16948.65,2.0929,1.0,22
