tiempo,coste
35,3584.8
53,3415.6000000000004
53,3415.6000000000004
35,3584.8
36,3553.0
38,3527.4
36,3553.0
38,3527.4
51,3428.8
42,3501.6
44,3477.6
40,3514.2000000000003
43,3488.4
46,3464.4
40,3514.2000000000003
44,3477.6
41,3503.2
43,3488.4
49,3444.4
47,3457.6
48,3448.8
50,3435.6000000000004
46,3464.4
51,3428.8
50,3435.6000000000004
47,3457.6
48,3448.8
49,3444.4
41,3503.2
42,3501.6
53,3415.6000000000004
35,3584.8
36,3553.0
38,3527.4
40,3514.2000000000003
44,3477.6
43,3488.4
46,3464.4
51,3428.8
50,3435.6000000000004
47,3457.6
48,3448.8
49,3444.4
41,3503.2
42,3501.6
35,3584.8
53,3415.6000000000004
36,3553.0
38,3527.4
40,3514.2000000000003
44,3477.6
43,3488.4
46,3464.4
51,3428.8
50,3435.6000000000004
47,3457.6
48,3448.8
49,3444.4
41,3503.2
42,3501.6
53,3415.6000000000004
35,3584.8
36,3553.0
38,3527.4
40,3514.2000000000003
44,3477.6
43,3488.4
46,3464.4
51,3428.8
50,3435.6000000000004
47,3457.6
48,3448.8
49,3444.4
41,3503.2
42,3501.6
35,3584.8
53,3415.6000000000004
36,3553.0
38,3527.4
40,3514.2000000000003
44,3477.6
43,3488.4
46,3464.4
51,3428.8
50,3435.6000000000004
47,3457.6
48,3448.8
49,3444.4
41,3503.2
42,3501.6
35,3584.8
53,3415.6000000000004
36,3553.0
38,3527.4
40,3514.2000000000003
44,3477.6
43,3488.4
46,3464.4
51,3428.8
50,3435.6000000000004
33,3768.600000000001
53,3408.2000000000003
33,3768.600000000001
53,3408.2000000000003
34,3682.600000000001
35,3584.8
34,3682.600000000001
35,3584.8
36,3553.0
37,3545.6
38,3527.4
51,3421.4
44,3470.2
39,3520.0
42,3494.2
43,3481.0
46,3457.0
40,3506.8
44,3470.2
40,3506.8
41,3495.7999999999997
43,3481.0
49,3437.0
47,3450.2
50,3428.2000000000003
48,3441.4
46,3457.0
51,3421.4
36,3553.0
38,3527.4
37,3545.6
39,3520.0
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
42,3494.2
33,3768.600000000001
53,3408.2000000000003
34,3682.600000000001
35,3584.8
44,3470.2
40,3506.8
43,3481.0
46,3457.0
51,3421.4
36,3553.0
38,3527.4
37,3545.6
39,3520.0
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
42,3494.2
33,3768.600000000001
53,3408.2000000000003
34,3682.600000000001
35,3584.8
44,3470.2
40,3506.8
43,3481.0
46,3457.0
51,3421.4
36,3553.0
38,3527.4
37,3545.6
39,3520.0
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
42,3494.2
53,3408.2000000000003
33,3768.600000000001
34,3682.600000000001
35,3584.8
44,3470.2
40,3506.8
43,3481.0
46,3457.0
51,3421.4
36,3553.0
38,3527.4
37,3545.6
39,3520.0
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
42,3494.2
53,3408.2000000000003
33,3768.600000000001
34,3682.600000000001
35,3584.8
44,3470.2
37,3607.8
62,3398.4000000000005
62,3398.4000000000005
37,3607.8
38,3594.6000000000004
39,3553.2000000000003
39,3553.2000000000003
40,3519.7999999999997
54,3408.2000000000003
49,3437.0
40,3519.7999999999997
44,3470.2
47,3450.2
52,3421.4
42,3494.2
43,3481.0
38,3594.6000000000004
46,3457.0
41,3506.6
41,3506.6
42,3494.2
44,3470.2
43,3481.0
54,3408.2000000000003
49,3437.0
51,3428.2000000000003
46,3457.0
51,3428.2000000000003
52,3421.4
47,3450.2
37,3607.8
62,3398.4000000000005
39,3553.2000000000003
40,3519.7999999999997
38,3594.6000000000004
41,3506.6
42,3494.2
44,3470.2
43,3481.0
54,3408.2000000000003
49,3437.0
46,3457.0
51,3428.2000000000003
52,3421.4
47,3450.2
62,3398.4000000000005
37,3607.8
39,3553.2000000000003
40,3519.7999999999997
38,3594.6000000000004
41,3506.6
42,3494.2
44,3470.2
43,3481.0
54,3408.2000000000003
49,3437.0
46,3457.0
51,3428.2000000000003
52,3421.4
47,3450.2
62,3398.4000000000005
37,3607.8
39,3553.2000000000003
40,3519.7999999999997
38,3594.6000000000004
41,3506.6
42,3494.2
44,3470.2
43,3481.0
54,3408.2000000000003
49,3437.0
46,3457.0
51,3428.2000000000003
47,3450.2
52,3421.4
62,3398.4000000000005
37,3607.8
39,3553.2000000000003
40,3519.7999999999997
38,3594.6000000000004
41,3506.6
42,3494.2
44,3470.2
43,3481.0
54,3408.2000000000003
49,3437.0
46,3457.0
51,3428.2000000000003
47,3450.2
52,3421.4
62,3398.4000000000005
37,3607.8
39,3553.2000000000003
40,3519.7999999999997
38,3594.6000000000004
41,3506.6
42,3494.2
44,3470.2
43,3481.0
54,3408.2000000000003
36,3577.4
52,3418.4000000000005
52,3418.4000000000005
36,3577.4
37,3539.8
37,3539.8
42,3490.2000000000003
39,3514.2000000000003
38,3526.6000000000004
40,3501.0000000000005
43,3477.0000000000005
38,3526.6000000000004
39,3514.2000000000003
47,3447.2000000000007
43,3477.0000000000005
51,3428.2000000000003
46,3457.0000000000005
44,3467.2000000000007
47,3447.2000000000007
49,3438.4000000000005
49,3438.4000000000005
40,3501.0000000000005
44,3467.2000000000007
41,3494.2000000000003
45,3460.4000000000005
50,3431.6000000000004
41,3494.2000000000003
42,3490.2000000000003
50,3431.6000000000004
45,3460.4000000000005
46,3457.0000000000005
51,3428.2000000000003
52,3418.4000000000005
36,3577.4
37,3539.8
38,3526.6000000000004
39,3514.2000000000003
43,3477.0000000000005
47,3447.2000000000007
49,3438.4000000000005
40,3501.0000000000005
44,3467.2000000000007
41,3494.2000000000003
42,3490.2000000000003
45,3460.4000000000005
50,3431.6000000000004
51,3428.2000000000003
46,3457.0000000000005
52,3418.4000000000005
36,3577.4
37,3539.8
38,3526.6000000000004
39,3514.2000000000003
43,3477.0000000000005
47,3447.2000000000007
49,3438.4000000000005
40,3501.0000000000005
44,3467.2000000000007
41,3494.2000000000003
42,3490.2000000000003
50,3431.6000000000004
45,3460.4000000000005
46,3457.0000000000005
51,3428.2000000000003
36,3577.4
52,3418.4000000000005
37,3539.8
38,3526.6000000000004
39,3514.2000000000003
43,3477.0000000000005
47,3447.2000000000007
49,3438.4000000000005
40,3501.0000000000005
44,3467.2000000000007
41,3494.2000000000003
42,3490.2000000000003
50,3431.6000000000004
45,3460.4000000000005
51,3428.2000000000003
46,3457.0000000000005
36,3577.4
52,3418.4000000000005
37,3539.8
38,3526.6000000000004
39,3514.2000000000003
43,3477.0000000000005
47,3447.2000000000007
49,3438.4000000000005
40,3501.0000000000005
44,3467.2000000000007
41,3494.2000000000003
42,3490.2000000000003
50,3431.6000000000004
45,3460.4000000000005
51,3428.2000000000003
46,3457.0000000000005
52,3418.4000000000005
36,3577.4
37,3539.8
38,3526.6000000000004
33,3866.6000000000004
54,3402.4
54,3402.4
33,3866.6000000000004
34,3780.6000000000004
35,3655.6000000000004
34,3780.6000000000004
37,3539.8
36,3604.0000000000005
35,3655.6000000000004
36,3604.0000000000005
40,3514.0
44,3464.4
41,3495.7999999999997
43,3482.6
39,3526.6000000000004
37,3539.8
44,3464.4
46,3451.2000000000003
39,3526.6000000000004
48,3441.4
49,3431.2000000000003
46,3451.2000000000003
42,3490.0
43,3482.6
52,3415.6
53,3408.2000000000003
50,3428.2000000000003
47,3444.4
51,3421.4
53,3408.2000000000003
51,3421.4
52,3415.6
41,3495.7999999999997
42,3490.0
49,3431.2000000000003
47,3444.4
48,3441.4
50,3428.2000000000003
54,3402.4
33,3866.6000000000004
34,3780.6000000000004
35,3655.6000000000004
36,3604.0000000000005
44,3464.4
39,3526.6000000000004
46,3451.2000000000003
43,3482.6
53,3408.2000000000003
51,3421.4
52,3415.6
41,3495.7999999999997
42,3490.0
49,3431.2000000000003
47,3444.4
50,3428.2000000000003
48,3441.4
33,3866.6000000000004
54,3402.4
34,3780.6000000000004
35,3655.6000000000004
36,3604.0000000000005
44,3464.4
39,3526.6000000000004
46,3451.2000000000003
43,3482.6
53,3408.2000000000003
51,3421.4
52,3415.6
41,3495.7999999999997
42,3490.0
49,3431.2000000000003
47,3444.4
50,3428.2000000000003
48,3441.4
54,3402.4
33,3866.6000000000004
34,3780.6000000000004
35,3655.6000000000004
36,3604.0000000000005
44,3464.4
39,3526.6000000000004
46,3451.2000000000003
43,3482.6
53,3408.2000000000003
51,3421.4
52,3415.6
41,3495.7999999999997
42,3490.0
49,3431.2000000000003
47,3444.4
50,3428.2000000000003
48,3441.4
54,3402.4
33,3866.6000000000004
34,3780.6000000000004
35,3655.6000000000004
36,3604.0000000000005
44,3464.4
39,3526.6000000000004
37,3641.9999999999995
51,3422.4
37,3641.9999999999995
51,3422.4
38,3557.2
39,3544.0
40,3514.0
48,3450.6
49,3435.6
46,3451.2000000000003
38,3557.2
40,3514.0
49,3435.6
42,3488.4
44,3464.4
41,3500.8
43,3475.2000000000003
39,3544.0
41,3500.8
42,3488.4
44,3464.4
43,3475.2000000000003
46,3451.2000000000003
48,3450.6
37,3641.9999999999995
51,3422.4
38,3557.2
40,3514.0
49,3435.6
39,3544.0
41,3500.8
42,3488.4
44,3464.4
43,3475.2000000000003
46,3451.2000000000003
48,3450.6
51,3422.4
37,3641.9999999999995
38,3557.2
40,3514.0
49,3435.6
39,3544.0
41,3500.8
42,3488.4
44,3464.4
43,3475.2000000000003
46,3451.2000000000003
48,3450.6
37,3641.9999999999995
51,3422.4
38,3557.2
40,3514.0
49,3435.6
39,3544.0
41,3500.8
42,3488.4
