tiempo,coste
35,3654.0000000000005
54,3402.4
35,3654.0000000000005
54,3402.4
36,3630.0000000000005
37,3545.6000000000004
37,3545.6000000000004
36,3630.0000000000005
38,3521.6000000000004
44,3459.6
42,3488.4
43,3467.0
45,3446.4
39,3514.2000000000003
40,3501.0000000000005
49,3426.4
51,3422.4
38,3521.6000000000004
43,3467.0
48,3433.8
53,3409.8
39,3514.2000000000003
45,3446.4
40,3501.0000000000005
47,3439.6
52,3415.6
41,3494.2000000000003
47,3439.6
41,3494.2000000000003
42,3488.4
52,3415.6
48,3433.8
53,3409.8
49,3426.4
51,3422.4
35,3654.0000000000005
54,3402.4
37,3545.6000000000004
36,3630.0000000000005
38,3521.6000000000004
43,3467.0
39,3514.2000000000003
45,3446.4
40,3501.0000000000005
47,3439.6
41,3494.2000000000003
42,3488.4
52,3415.6
53,3409.8
48,3433.8
49,3426.4
51,3422.4
35,3654.0000000000005
54,3402.4
37,3545.6000000000004
36,3630.0000000000005
38,3521.6000000000004
39,3514.2000000000003
45,3446.4
40,3501.0000000000005
47,3439.6
41,3494.2000000000003
42,3488.4
52,3415.6
53,3409.8
48,3433.8
49,3426.4
51,3422.4
43,3467.0
35,3654.0000000000005
54,3402.4
37,3545.6000000000004
36,3630.0000000000005
38,3521.6000000000004
39,3514.2000000000003
45,3446.4
40,3501.0000000000005
41,3494.2000000000003
42,3488.4
52,3415.6
53,3409.8
48,3433.8
49,3426.4
51,3422.4
43,3467.0
35,3654.0000000000005
54,3402.4
37,3545.6000000000004
36,3630.0000000000005
38,3521.6000000000004
39,3514.2000000000003
45,3446.4
40,3501.0000000000005
41,3494.2000000000003
42,3488.4
52,3415.6
53,3409.8
48,3433.8
49,3426.4
51,3422.4
54,3402.4
36,3668.4
54,3402.4
37,3647.2
38,3546.4
39,3544.8
40,3514.0
37,3647.2
40,3514.0
41,3495.7999999999997
44,3468.4
43,3482.6
49,3431.2000000000003
44,3468.4
47,3444.4
46,3455.2000000000003
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
51,3421.4
42,3490.0
43,3482.6
52,3415.6
53,3408.2000000000003
51,3421.4
53,3408.2000000000003
52,3415.6
41,3495.7999999999997
42,3490.0
38,3546.4
39,3544.8
54,3402.4
40,3514.0
44,3468.4
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
43,3482.6
51,3421.4
53,3408.2000000000003
52,3415.6
41,3495.7999999999997
42,3490.0
38,3546.4
39,3544.8
54,3402.4
40,3514.0
44,3468.4
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
43,3482.6
51,3421.4
53,3408.2000000000003
52,3415.6
41,3495.7999999999997
42,3490.0
38,3546.4
39,3544.8
54,3402.4
40,3514.0
44,3468.4
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
43,3482.6
51,3421.4
53,3408.2000000000003
52,3415.6
41,3495.7999999999997
42,3490.0
38,3546.4
39,3544.8
54,3402.4
40,3514.0
44,3468.4
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
43,3482.6
51,3421.4
53,3408.2000000000003
52,3415.6
41,3495.7999999999997
42,3490.0
38,3546.4
39,3544.8
54,3402.4
40,3514.0
44,3468.4
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
43,3482.6
51,3421.4
53,3408.2000000000003
52,3415.6
41,3495.7999999999997
42,3490.0
38,3546.4
37,3652.6000000000004
59,3392.6000000000004
37,3652.6000000000004
59,3392.6000000000004
38,3546.4
40,3527.6
41,3495.7999999999997
44,3464.4
49,3431.2000000000003
51,3413.2000000000003
38,3546.4
40,3527.6
43,3482.6
53,3400.0000000000005
51,3413.2000000000003
49,3431.2000000000003
44,3464.4
47,3444.4
46,3451.2000000000003
53,3400.0000000000005
46,3451.2000000000003
47,3444.4
42,3490.0
43,3482.6
41,3495.7999999999997
42,3490.0
59,3392.6000000000004
37,3652.6000000000004
38,3546.4
40,3527.6
51,3413.2000000000003
49,3431.2000000000003
44,3464.4
53,3400.0000000000005
46,3451.2000000000003
47,3444.4
43,3482.6
41,3495.7999999999997
42,3490.0
59,3392.6000000000004
37,3652.6000000000004
38,3546.4
40,3527.6
51,3413.2000000000003
49,3431.2000000000003
44,3464.4
53,3400.0000000000005
46,3451.2000000000003
47,3444.4
43,3482.6
41,3495.7999999999997
42,3490.0
59,3392.6000000000004
37,3652.6000000000004
38,3546.4
40,3527.6
51,3413.2000000000003
49,3431.2000000000003
44,3464.4
53,3400.0000000000005
46,3451.2000000000003
47,3444.4
43,3482.6
41,3495.7999999999997
42,3490.0
59,3392.6000000000004
37,3652.6000000000004
38,3546.4
40,3527.6
51,3413.2000000000003
49,3431.2000000000003
44,3464.4
53,3400.0000000000005
46,3451.2000000000003
47,3444.4
43,3482.6
41,3495.7999999999997
42,3490.0
37,3652.6000000000004
59,3392.6000000000004
38,3546.4
40,3527.6
51,3413.2000000000003
49,3431.2000000000003
44,3464.4
53,3400.0000000000005
46,3451.2000000000003
47,3444.4
43,3482.6
41,3495.7999999999997
42,3490.0
37,3652.6000000000004
59,3392.6000000000004
38,3546.4
40,3527.6
51,3413.2000000000003
49,3431.2000000000003
44,3464.4
53,3400.0000000000005
46,3451.2000000000003
54,3402.4
35,3687.4000000000005
54,3402.4
35,3687.4000000000005
38,3546.4
37,3627.4
36,3644.2000000000003
40,3527.6
41,3495.7999999999997
46,3466.2000000000003
47,3444.4
38,3546.4
40,3527.6
36,3644.2000000000003
37,3627.4
49,3431.2000000000003
47,3444.4
52,3415.6
49,3431.2000000000003
44,3476.8
46,3466.2000000000003
51,3421.6
42,3490.0
43,3482.6
51,3421.6
52,3415.6
44,3476.8
41,3495.7999999999997
43,3482.6
42,3490.0
35,3687.4000000000005
54,3402.4
38,3546.4
40,3527.6
36,3644.2000000000003
37,3627.4
47,3444.4
49,3431.2000000000003
46,3466.2000000000003
51,3421.6
52,3415.6
44,3476.8
41,3495.7999999999997
43,3482.6
42,3490.0
35,3687.4000000000005
54,3402.4
38,3546.4
40,3527.6
36,3644.2000000000003
37,3627.4
47,3444.4
49,3431.2000000000003
46,3466.2000000000003
51,3421.6
52,3415.6
44,3476.8
41,3495.7999999999997
43,3482.6
42,3490.0
35,3687.4000000000005
54,3402.4
38,3546.4
40,3527.6
36,3644.2000000000003
37,3627.4
47,3444.4
49,3431.2000000000003
46,3466.2000000000003
51,3421.6
52,3415.6
44,3476.8
41,3495.7999999999997
43,3482.6
42,3490.0
35,3687.4000000000005
54,3402.4
38,3546.4
40,3527.6
36,3644.2000000000003
37,3627.4
47,3444.4
49,3431.2000000000003
46,3466.2000000000003
51,3421.6
52,3415.6
44,3476.8
41,3495.7999999999997
43,3482.6
42,3490.0
35,3687.4000000000005
54,3402.4
38,3546.4
40,3527.6
36,3644.2000000000003
37,3627.4
47,3444.4
49,3431.2000000000003
46,3466.2000000000003
51,3421.6
54,3402.4
35,3584.8
54,3402.4
35,3584.8
36,3547.2000000000003
40,3514.0
41,3494.2000000000003
49,3431.2000000000003
44,3468.4
44,3468.4
37,3539.8
47,3444.4
38,3526.6000000000004
46,3455.2000000000003
43,3481.0000000000005
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
39,3523.2000000000003
40,3514.0
42,3490.0
43,3481.0000000000005
51,3423.0
51,3423.0
36,3547.2000000000003
53,3409.8
52,3415.6
37,3539.8
52,3415.6
53,3409.8
41,3494.2000000000003
42,3490.0
38,3526.6000000000004
39,3523.2000000000003
35,3584.8
54,3402.4
44,3468.4
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
40,3514.0
43,3481.0000000000005
51,3423.0
36,3547.2000000000003
37,3539.8
52,3415.6
53,3409.8
41,3494.2000000000003
42,3490.0
38,3526.6000000000004
39,3523.2000000000003
35,3584.8
54,3402.4
44,3468.4
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
40,3514.0
43,3481.0000000000005
51,3423.0
36,3547.2000000000003
37,3539.8
52,3415.6
53,3409.8
41,3494.2000000000003
42,3490.0
38,3526.6000000000004
39,3523.2000000000003
54,3402.4
35,3584.8
44,3468.4
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
40,3514.0
43,3481.0000000000005
51,3423.0
36,3547.2000000000003
37,3539.8
52,3415.6
53,3409.8
41,3494.2000000000003
42,3490.0
38,3526.6000000000004
39,3523.2000000000003
54,3402.4
35,3584.8
44,3468.4
46,3455.2000000000003
47,3444.4
49,3431.2000000000003
40,3514.0
43,3481.0000000000005
51,3423.0
36,3547.2000000000003
37,3539.8
52,3415.6
53,3409.8
41,3494.2000000000003
42,3490.0
59,3412.6000000000004
34,3700.600000000001
59,3412.6000000000004
34,3700.600000000001
35,3611.4000000000005
36,3573.8000000000006
35,3611.4000000000005
40,3527.6
41,3495.7999999999997
38,3546.4
44,3464.4
38,3546.4
43,3482.6
39,3529.0
46,3451.2000000000003
