tiempo,coste
37,3624.8
54,3402.4
54,3402.4
38,3546.4
39,3544.8
40,3514.0
44,3459.6
48,3426.4
42,3485.2
47,3444.4
40,3514.0
41,3495.7999999999997
53,3408.2000000000003
45,3446.4
43,3472.0
43,3472.0
41,3495.7999999999997
51,3422.4
52,3415.6
52,3415.6
51,3422.4
45,3446.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
40,3514.0
41,3495.7999999999997
52,3415.6
51,3422.4
45,3446.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
40,3514.0
41,3495.7999999999997
52,3415.6
51,3422.4
45,3446.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
40,3514.0
41,3495.7999999999997
52,3415.6
51,3422.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
40,3514.0
41,3495.7999999999997
52,3415.6
51,3422.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
40,3514.0
41,3495.7999999999997
52,3415.6
51,3422.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
40,3514.0
52,3415.6
41,3495.7999999999997
51,3422.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
40,3514.0
52,3415.6
41,3495.7999999999997
51,3422.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
40,3514.0
52,3415.6
41,3495.7999999999997
51,3422.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
40,3514.0
52,3415.6
41,3495.7999999999997
51,3422.4
47,3444.4
38,3546.4
39,3544.8
54,3402.4
36,3746.8000000000006
59,3392.6000000000004
37,3598.0
38,3539.8
40,3519.8
42,3490.0
44,3464.4
43,3488.4
39,3538.2000000000003
40,3519.8
54,3402.4
49,3431.2000000000003
44,3464.4
52,3415.6
47,3444.4
46,3451.2000000000003
54,3402.4
49,3431.2000000000003
51,3422.4
46,3451.2000000000003
51,3422.4
52,3415.6
47,3444.4
42,3490.0
38,3539.8
43,3488.4
40,3519.8
44,3464.4
54,3402.4
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
47,3444.4
52,3415.6
42,3490.0
43,3488.4
40,3519.8
44,3464.4
54,3402.4
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
52,3415.6
47,3444.4
42,3490.0
43,3488.4
44,3464.4
54,3402.4
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
47,3444.4
52,3415.6
42,3490.0
43,3488.4
44,3464.4
54,3402.4
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
47,3444.4
52,3415.6
42,3490.0
43,3488.4
44,3464.4
54,3402.4
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
52,3415.6
47,3444.4
42,3490.0
43,3488.4
44,3464.4
54,3402.4
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
52,3415.6
47,3444.4
42,3490.0
43,3488.4
44,3464.4
54,3402.4
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
52,3415.6
47,3444.4
42,3490.0
43,3488.4
44,3464.4
54,3402.4
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
52,3415.6
47,3444.4
42,3490.0
43,3488.4
34,3609.6
62,3392.6000000000004
62,3392.6000000000004
38,3554.0
40,3527.6
41,3495.7999999999997
40,3527.6
44,3464.4
43,3482.6
44,3464.4
46,3451.2000000000003
48,3441.4
49,3431.2000000000003
58,3398.4000000000005
54,3402.4
46,3451.2000000000003
42,3490.0
43,3482.6
52,3415.6
53,3408.2000000000003
58,3398.4000000000005
50,3428.2000000000003
47,3444.4
51,3421.4
53,3408.2000000000003
51,3421.4
52,3415.6
41,3495.7999999999997
42,3490.0
54,3402.4
49,3431.2000000000003
47,3444.4
48,3441.4
